"rule_id","phase","priority","action","root_kind","block","prior_semantics","inference","family","tau_label","fit_size","target_profile","audit_required","hold_fixed","target_behavior","rationale","cluster_signal","available_metric_slots","win_metric_slots","loss_metric_slots","win_share","net_advantage","q_rmse_median_delta","loss_metric_median_delta","crps_median_delta","interval_median_delta","coverage_gap_median_delta","runtime_ratio_median"
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_paper","paper","vb","gausmix","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",4,4,0,1,4,-0.50694950064616,0.0639999999999999,-0.147081254754774,NA,-0.375,80.9531249999999
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","rhs","vb","gausmix","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.00130052901701361,NA,-0.00501211304705113,NA,-0.0666666666666667,11.9667673716012
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","ridge","vb","gausmix","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.30422981631416,NA,-0.137148682783156,NA,-0.2,69.923976608187
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_paper","paper","vb","gausmix","0p05",1000,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","mixed",4,2,2,0.5,0,0.141342642475929,0,-0.053198028526027,NA,-0.25,42.1101449275362
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","rhs","vb","gausmix","0p05",1000,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.00345369460550971,NA,-0.025866515995505,NA,-0.133333333333333,0.303336811966498
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","ridge","vb","gausmix","0p05",1000,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.0836809778158681,NA,-0.0685078687174285,NA,-0.266666666666667,4.85714285714286
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_paper","paper","vb","laplace","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",4,4,0,1,4,-0.354396025589877,0.140125,-0.35287732486676,NA,-0.375,450.000000000004
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","rhs","vb","laplace","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.221757892441978,NA,-0.0390965965593907,NA,-0.133333333333333,11.9405630865485
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","ridge","vb","laplace","0p05",100,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","positive",3,3,0,1,3,-0.265414545435367,NA,-0.0831974151801595,NA,-0.4,253.266666666667
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_paper","paper","vb","laplace","0p05",1000,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","mixed",4,2,2,0.5,0,0.253278447556203,0.096,-0.0409761401163904,NA,0.125,47.4198113207547
"static_vb_non025_hold_monitor","phase2_static_vb",5,"hold_monitor","static","static_shrink","rhs","vb","laplace","0p05",1000,"static_exal_vb_hold",FALSE,TRUE,"keep current non-0.25 VB clusters as monitor-only until tau 0.25 is understood","non-0.25 VB is mixed-to-positive and should not be perturbed first","negative",3,1,2,0.333333333333333,-1,0.255046301152362,NA,0.0116262618526762,NA,-0.266666666666667,0.372618159625687
