"level","family","tau","fit_size","local_rel","ref_rel","n_obs_local","n_obs_ref","series_wide_match","series_long_match","truth_match","sim_match","meta_contract_match","validation_contract_match","q_true_equals_mu_local","source_index_match","md5_series_wide_local","md5_series_wide_ref","all_pass"
"root","gausmix",0.05,NA,"gausmix/tau_0p05","gausmix/tau_0p05",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"58746b40a3d48f363f4ffc6607d07fe0","58746b40a3d48f363f4ffc6607d07fe0",TRUE
"root","gausmix",0.25,NA,"gausmix/tau_0p25","gausmix/tau_0p25",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"400df6f37b07a51c4dd7249c14699206","400df6f37b07a51c4dd7249c14699206",TRUE
"root","gausmix",0.5,NA,"gausmix/tau_0p50","gausmix/tau_0p50",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"1200cf531b05fc24d01fce8303609393","1200cf531b05fc24d01fce8303609393",TRUE
"root","laplace",0.05,NA,"laplace/tau_0p05","laplace/tau_0p05",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"8e6b0bf62c76a943eb2b97f4f86a0de1","8e6b0bf62c76a943eb2b97f4f86a0de1",TRUE
"root","laplace",0.25,NA,"laplace/tau_0p25","laplace/tau_0p25",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"495b694f93a4301b06cc0a5884a64442","495b694f93a4301b06cc0a5884a64442",TRUE
"root","laplace",0.5,NA,"laplace/tau_0p50","laplace/tau_0p50",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"96e78714eeeb1066b1308f7301f7b830","96e78714eeeb1066b1308f7301f7b830",TRUE
"root","normal",0.05,NA,"normal/tau_0p05","normal/tau_0p05",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"237305ab7d273607cc42711c74a7662e","237305ab7d273607cc42711c74a7662e",TRUE
"root","normal",0.25,NA,"normal/tau_0p25","normal/tau_0p25",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"ad2854aeaaab748beaae4450330d4e7f","ad2854aeaaab748beaae4450330d4e7f",TRUE
"root","normal",0.5,NA,"normal/tau_0p50","normal/tau_0p50",7000,7000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,"1299adf986dbcc6fa604700da79f405c","1299adf986dbcc6fa604700da79f405c",TRUE
"slice","gausmix",0.05,500,"gausmix/tau_0p05/fit_input_lastTT500","gausmix/tau_0p05/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"495d35e95eb55bc08890cc69ffb6a739","495d35e95eb55bc08890cc69ffb6a739",TRUE
"slice","gausmix",0.05,5000,"gausmix/tau_0p05/fit_input_lastTT5000","gausmix/tau_0p05/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"bc6fa0b3d8561f92a7569ce2595e2658","bc6fa0b3d8561f92a7569ce2595e2658",TRUE
"slice","gausmix",0.25,500,"gausmix/tau_0p25/fit_input_lastTT500","gausmix/tau_0p25/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"f00c2243a2938848a5174494a25b2c1d","f00c2243a2938848a5174494a25b2c1d",TRUE
"slice","gausmix",0.25,5000,"gausmix/tau_0p25/fit_input_lastTT5000","gausmix/tau_0p25/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"d17dc9ced2d06e23ba69f0a63746a799","d17dc9ced2d06e23ba69f0a63746a799",TRUE
"slice","gausmix",0.5,500,"gausmix/tau_0p50/fit_input_lastTT500","gausmix/tau_0p50/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"db4bb25936d0a65925c19621b37dd39d","db4bb25936d0a65925c19621b37dd39d",TRUE
"slice","gausmix",0.5,5000,"gausmix/tau_0p50/fit_input_lastTT5000","gausmix/tau_0p50/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"f1b6640ca2d8db676d6f8b41457cc722","f1b6640ca2d8db676d6f8b41457cc722",TRUE
"slice","laplace",0.05,500,"laplace/tau_0p05/fit_input_lastTT500","laplace/tau_0p05/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"dddd928f57917d457fe3ea80c248582b","dddd928f57917d457fe3ea80c248582b",TRUE
"slice","laplace",0.05,5000,"laplace/tau_0p05/fit_input_lastTT5000","laplace/tau_0p05/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"43073506e4190a50755ba3c4f408eb1b","43073506e4190a50755ba3c4f408eb1b",TRUE
"slice","laplace",0.25,500,"laplace/tau_0p25/fit_input_lastTT500","laplace/tau_0p25/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"105158b58956a04ac540ef9c5853eb84","105158b58956a04ac540ef9c5853eb84",TRUE
"slice","laplace",0.25,5000,"laplace/tau_0p25/fit_input_lastTT5000","laplace/tau_0p25/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"00bace7d621cfdfa9e2d53799a885c8b","00bace7d621cfdfa9e2d53799a885c8b",TRUE
"slice","laplace",0.5,500,"laplace/tau_0p50/fit_input_lastTT500","laplace/tau_0p50/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"3cbf020dc74d540bc201fd8d3de53de8","3cbf020dc74d540bc201fd8d3de53de8",TRUE
"slice","laplace",0.5,5000,"laplace/tau_0p50/fit_input_lastTT5000","laplace/tau_0p50/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"89f9da1e9ebb453de7d844b2b67baae9","89f9da1e9ebb453de7d844b2b67baae9",TRUE
"slice","normal",0.05,500,"normal/tau_0p05/fit_input_lastTT500","normal/tau_0p05/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"2fede12ba077f00813d471ae1979711f","2fede12ba077f00813d471ae1979711f",TRUE
"slice","normal",0.05,5000,"normal/tau_0p05/fit_input_lastTT5000","normal/tau_0p05/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"f9f4713310ae925ba8ff7ece2634c9bd","f9f4713310ae925ba8ff7ece2634c9bd",TRUE
"slice","normal",0.25,500,"normal/tau_0p25/fit_input_lastTT500","normal/tau_0p25/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"d597c0834ff04b3292e793665405b9bb","d597c0834ff04b3292e793665405b9bb",TRUE
"slice","normal",0.25,5000,"normal/tau_0p25/fit_input_lastTT5000","normal/tau_0p25/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"8cd5ac28f13829c0fa079cad8be025e2","8cd5ac28f13829c0fa079cad8be025e2",TRUE
"slice","normal",0.5,500,"normal/tau_0p50/fit_input_lastTT500","normal/tau_0p50/fit_input_lastTT500",500,500,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"879e67699d4fe4804ad7f77e480641e9","879e67699d4fe4804ad7f77e480641e9",TRUE
"slice","normal",0.5,5000,"normal/tau_0p50/fit_input_lastTT5000","normal/tau_0p50/fit_input_lastTT5000",5000,5000,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,"4280ddef30095619a1a014789dba85e8","4280ddef30095619a1a014789dba85e8",TRUE
