"row_id","original_case_key","family","tau_label","fit_size","model","inference","status_current","gate_current","retry_reason","error_current","candidate_fit_path","vb_init_fit_path"
4,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","gausmix","0p05",500,"exdqlm","mcmc","done","FAIL","completed_gate_fail","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_vb_init.rds"
8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","gausmix","0p05",5000,"exdqlm","mcmc","failed_runtime","FAIL","operational_runtime_failure","error writing to connection","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_vb_init.rds"
10,"dynamic::gausmix::0p25::500::default::dqlm::mcmc","gausmix","0p25",500,"dqlm","mcmc","failed_runtime","FAIL","operational_runtime_failure","error writing to connection","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_vb_init.rds"
12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","gausmix","0p25",500,"exdqlm","mcmc","failed_runtime","FAIL","operational_runtime_failure","error writing to connection","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds"
14,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","gausmix","0p25",5000,"dqlm","mcmc","failed_runtime","FAIL","operational_runtime_failure","error reading from connection","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_vb_init.rds"
16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","gausmix","0p25",5000,"exdqlm","mcmc","done","FAIL","completed_gate_fail","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_vb_init.rds"
28,"dynamic::laplace::0p05::500::default::exdqlm::mcmc","laplace","0p05",500,"exdqlm","mcmc","done","FAIL","completed_gate_fail","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0028_dynamic_laplace_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0028_dynamic_laplace_0p05_500_default_exdqlm_mcmc_vb_init.rds"
32,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","laplace","0p05",5000,"exdqlm","mcmc","running","MISSING","stale_running_without_worker","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_vb_init.rds"
34,"dynamic::laplace::0p25::500::default::dqlm::mcmc","laplace","0p25",500,"dqlm","mcmc","running","MISSING","stale_running_without_worker","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0034_dynamic_laplace_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0034_dynamic_laplace_0p25_500_default_dqlm_mcmc_vb_init.rds"
36,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","laplace","0p25",500,"exdqlm","mcmc","running","MISSING","stale_running_without_worker","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0036_dynamic_laplace_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0036_dynamic_laplace_0p25_500_default_exdqlm_mcmc_vb_init.rds"
38,"dynamic::laplace::0p25::5000::default::dqlm::mcmc","laplace","0p25",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0038_dynamic_laplace_0p25_5000_default_dqlm_mcmc_vb_init.rds"
40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","laplace","0p25",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0040_dynamic_laplace_0p25_5000_default_exdqlm_mcmc_vb_init.rds"
42,"dynamic::laplace::0p50::500::default::dqlm::mcmc","laplace","0p50",500,"dqlm","mcmc","running","MISSING","stale_running_without_worker","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_vb_init.rds"
44,"dynamic::laplace::0p50::500::default::exdqlm::mcmc","laplace","0p50",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0044_dynamic_laplace_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0044_dynamic_laplace_0p50_500_default_exdqlm_mcmc_vb_init.rds"
46,"dynamic::laplace::0p50::5000::default::dqlm::mcmc","laplace","0p50",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0046_dynamic_laplace_0p50_5000_default_dqlm_mcmc_vb_init.rds"
48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","laplace","0p50",5000,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0048_dynamic_laplace_0p50_5000_default_exdqlm_mcmc_vb_init.rds"
50,"dynamic::normal::0p05::500::default::dqlm::mcmc","normal","0p05",500,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0050_dynamic_normal_0p05_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0050_dynamic_normal_0p05_500_default_dqlm_mcmc_vb_init.rds"
52,"dynamic::normal::0p05::500::default::exdqlm::mcmc","normal","0p05",500,"exdqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0052_dynamic_normal_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0052_dynamic_normal_0p05_500_default_exdqlm_mcmc_vb_init.rds"
54,"dynamic::normal::0p05::5000::default::dqlm::mcmc","normal","0p05",5000,"dqlm","mcmc","not_started","MISSING","not_started","","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/fits/mcmc/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260422_p90_full288_baseline_v1/vb_init/dynamic/row_0054_dynamic_normal_0p05_5000_default_dqlm_mcmc_vb_init.rds"
