"t","y","mu","q_010","q_015","q_020","q_025","q_030","q_035","q_040","q_045","q_050","q_055","q_060","q_065","q_070","q_075","q_080","q_085","q_090","q_095"
1,5.06062445848891,3.71232342316174,0.517189636693258,1.2985590722958,1.87551995593766,2.23640973369634,2.64647046068956,2.95216190580349,3.22307844768506,3.47045861990705,3.6584656451897,3.88902721348016,4.14154236501725,4.43043776917266,4.74680768936469,5.10204811091381,5.5242644474392,6.12857458093069,6.88781323104869,8.25810423514331
2,4.92658079377118,3.03637467509335,-0.122439381102605,0.714595842002299,1.29175054000159,1.68184080687151,2.06366667897801,2.36232539289798,2.62282600119917,2.85648491253502,3.06925750929077,3.27231374546861,3.51187624742699,3.81268274719354,4.1132561436159,4.47588679859473,4.91125736739374,5.49904881174704,6.33096977308976,7.6082284789956
3,1.6448884760797,2.95594847626271,-0.243168839589711,0.514944561606231,1.0794950288815,1.51458545446713,1.90975602443331,2.23102081445448,2.51306405078938,2.7464757319139,2.95388262295622,3.17476205143855,3.41792900914169,3.68567572207377,4.01120292367681,4.36097749525731,4.79387198429585,5.31748683770254,6.17595818777597,7.58281701017144
4,2.11255230349987,0.986933085647821,-2.37611947924296,-1.46874811609659,-0.898449068301677,-0.407026068744534,-0.081934055371862,0.260233954640605,0.553467964237501,0.771588134324127,0.996144842532815,1.20566076653257,1.43713741638528,1.67715336148437,1.99350778709235,2.352480639537,2.80852457938437,3.38408026368385,4.17415659569308,5.5010882735397
5,3.02733003383718,1.26753138209992,-2.04123483946084,-1.16002281912538,-0.588133285267719,-0.141364278289664,0.241001030731954,0.516936804150856,0.78873492156128,1.03600691589688,1.24432351618927,1.4910470424611,1.7273009545994,1.94811942490322,2.29649819453311,2.63405842938927,3.07090109019921,3.62253898391615,4.36164307814942,5.76081116091532
6,1.6866226791602,1.81639802030231,-1.55787315185776,-0.746721294484603,-0.167114256108856,0.349602160622425,0.763905213101677,1.08208393362794,1.38101288090464,1.62190286681686,1.83370980256107,2.03243058359131,2.26937259728303,2.55986424110127,2.86599922881814,3.22898003826557,3.65636857204871,4.23044538872844,5.05852461955726,6.4625616358355
7,2.89814341329326,1.01197360749612,-2.10080183014119,-1.3454661645759,-0.784551730751109,-0.330470819831397,0.0396844236198618,0.339734234822027,0.597683571906354,0.848461184675402,1.04730861157928,1.26219069488547,1.492364536594,1.76356745517812,2.07744726339409,2.43617503252622,2.85562281730515,3.4503127217722,4.2300977771716,5.512337071166
8,1.4998369495676,1.73888604797596,-1.52422754236546,-0.686273189214392,-0.121207054371844,0.260318839551982,0.628352934497198,0.961682751612083,1.23105990208727,1.4727824187304,1.68607825363671,1.89197316274625,2.12821761363547,2.38693309462346,2.70479725740068,3.07947879384759,3.52040912937899,4.11108444596843,4.89906554522011,6.27712373304987
9,-2.84384117102407,0.89990216974056,-2.39566054277858,-1.47084501039849,-0.947459398449828,-0.542036328547492,-0.158382978581736,0.173300908953984,0.444824061972919,0.678443896970737,0.891057127669598,1.11471020548409,1.34407827513271,1.62425197469369,1.9051743468994,2.30516921149863,2.73828160034038,3.39040240879878,4.13982879190884,5.4668705765055
10,-1.03903356477403,-1.70630470261444,-4.97384198541786,-4.15843548635392,-3.60403366693485,-3.13201867535532,-2.76857629768997,-2.43087953483983,-2.14212615252569,-1.87684655938079,-1.6465487219005,-1.45027197096685,-1.19292908410868,-0.935788373467807,-0.624029211377457,-0.269992444192273,0.205779545117989,0.781791549295257,1.62806979467231,2.96528214152504
11,0.48326304353166,-0.623420138864415,-3.89882749521646,-3.12394602110701,-2.54388739520321,-2.08901805107613,-1.69031062221282,-1.36608599533986,-1.12215745690968,-0.902212649289039,-0.673754313355081,-0.469036850338637,-0.228868866291438,0.0491485055471857,0.336577428856457,0.732060141209638,1.13095658962174,1.69626207215192,2.50119294446107,3.76173958547664
12,1.14669339655843,0.289957826118996,-2.88471004734414,-2.06263938042738,-1.485132681226,-1.08393285983549,-0.707605279338363,-0.411328527526298,-0.160252782999481,0.0734782676389254,0.29233734959651,0.504824401662615,0.72978919314956,0.98529783629639,1.28721119622566,1.67175236039225,2.07671565294816,2.67621364787406,3.47577523955452,4.8479820711139
13,5.37600844036458,0.688016037935055,-2.45530674177479,-1.68113483263283,-1.15506511429886,-0.69721477616775,-0.349124114559884,-0.000384655274372124,0.274050631542715,0.493082406894334,0.708224325614891,0.906999428202834,1.14753824864703,1.41598135890667,1.69902617289471,2.03039854873082,2.48802322334359,3.0496289929256,3.87807980038517,5.35552949452087
14,5.73884109210049,3.22560506421875,0.0988903110743437,0.86168060414968,1.43770102052797,1.85423566562142,2.22392185318737,2.53824966615008,2.79746532428199,3.03374503967084,3.23777223489916,3.45271456950651,3.68898580925759,3.97252036549281,4.28342028154974,4.65415685509934,5.10075232951178,5.62071231192005,6.41497286846414,7.78262197271588
15,2.40300866638325,3.44330465526029,0.271245557791535,1.10819111145262,1.63825025880517,2.08390089412542,2.40170845732591,2.73755062975208,3.00165668869987,3.22379246693555,3.4410385450123,3.64461046252913,3.89765050545604,4.16083390570569,4.44882618172859,4.82706837204796,5.27210983126401,5.81739698029309,6.71861429577253,8.12057976711575
16,1.85476710231795,1.44180519982995,-1.79043308221957,-1.05295108049288,-0.502813519024182,-0.0139777519961646,0.383810244392426,0.680823048453468,0.963445709888624,1.23145791477287,1.43463072289507,1.64437983776453,1.86446301709244,2.13923711236734,2.46008594752233,2.84525914601542,3.2940092101325,3.86984557217758,4.63958185812623,6.21943899281248
17,-3.41121277713716,1.11286026139077,-2.09482131140898,-1.24428025491627,-0.632666088969105,-0.230427256690665,0.134214042023026,0.417868019859555,0.692077804478903,0.915812697262569,1.10214405126386,1.31179854633262,1.53364483948689,1.8095557774376,2.11214340254541,2.45067933676199,2.84606379157919,3.45225535633026,4.27489823805074,5.62905467552089
18,0.722952709139688,-2.04672766628229,-5.26102088278156,-4.44650393630997,-3.90010134920385,-3.45569599399258,-3.08505749752278,-2.75994577260669,-2.48852780806107,-2.24921510989077,-2.02728140705557,-1.8275051042189,-1.59492866917218,-1.32011024912339,-1.04800508796132,-0.688605502652208,-0.25433212676245,0.337007692658291,1.13293432233391,2.53796446273029
19,2.09934340780094,0.433771625483813,-2.92223206690045,-2.11715443697824,-1.45687761342686,-1.01062704696442,-0.596924538155618,-0.281866251686941,-0.0123026717657949,0.223158030935122,0.445648369241322,0.657591348999739,0.906862769095025,1.18151810624123,1.47259400612086,1.86284721024422,2.26994016700376,2.79524725500743,3.67373895861988,5.02073911753044
20,2.39160187561757,1.25960604468056,-2.08669748919848,-1.19492834823557,-0.593659123418835,-0.147982532579305,0.213495566371489,0.517532630879744,0.798457206720739,1.04290869891179,1.25285743632579,1.43287290576183,1.68331993923557,1.9547602479158,2.25457354779966,2.66252324613181,3.08660941159013,3.62422982987641,4.37203888294771,5.67037942870409
21,4.7894728554665,1.43496112537054,-1.73657642963203,-0.96763498505137,-0.369841998513486,0.0598195152875969,0.422553872537423,0.701379115611126,0.993545033084523,1.21479130932948,1.43151525137695,1.66193104889642,1.89930310226791,2.16677158974354,2.50324287975853,2.87573825067723,3.38603492264914,3.93749062095676,4.72455843572889,6.22227119049484
22,3.70644330750058,2.8736837132799,-0.402315430718019,0.364131672723446,0.943801464463267,1.41545755665504,1.77958504766656,2.12690625397633,2.40207913014281,2.67091154783937,2.87442833769433,3.0810245776472,3.32068954009585,3.61996985594221,3.92558205108513,4.30229222687491,4.74887479085134,5.40135984896713,6.26058100392524,7.57489944688557
23,-0.261694573578194,2.22386598450035,-0.940519220028021,-0.169685313277511,0.427775465211896,0.871617592709107,1.23463000841593,1.5493285673157,1.81118202199586,2.04745600330279,2.24618020105063,2.47791789239701,2.67640612669847,2.95214019265464,3.29097026748226,3.62961946352667,4.09014533069586,4.65717821929774,5.41435720990846,7.02020350304126
24,1.20514776380134,-0.157016744146916,-3.38111225575329,-2.58337954348655,-1.97083646415116,-1.53358377748447,-1.18027573163931,-0.888152980998357,-0.608302575383438,-0.386548809444369,-0.177983712306252,0.036072876050852,0.27142118814401,0.529190285293023,0.837766381470759,1.2064763416045,1.66668075966672,2.23134010042638,3.04584867136392,4.42422625311656
25,5.80923695618793,0.723088658280806,-2.47846251488157,-1.59230401126436,-1.06748764948059,-0.633931579726489,-0.245700220588969,0.0293043415601365,0.288693205945586,0.517708971586255,0.727019787893214,0.944789904964859,1.20556182086991,1.48195929852008,1.8005612791601,2.15917910091887,2.64727321337901,3.23065696151159,3.96453668088093,5.4356597732466
26,5.48045535021211,3.48554217371276,0.265949744495073,1.11599307681104,1.64658461140562,2.07081263835717,2.44981707345882,2.75045925656292,3.03347718739779,3.26336075803577,3.48489215744632,3.68920862812692,3.89826923028675,4.15752796922734,4.49566845570916,4.85148314532974,5.33180311457056,5.90730459703245,6.85135201245468,8.16087672166756
27,2.73612089838322,3.28827321012727,0.137260792866393,0.884514310089732,1.41849457930815,1.89653532218544,2.28134816783105,2.59831277026753,2.86184372104958,3.10441974982029,3.30728662792859,3.50758528163018,3.75005551838451,4.05351218576704,4.34643885612167,4.69978585592784,5.18934663690947,5.82420397890973,6.62047785623251,8.07922109581813
28,3.03237345672578,1.64167253902993,-1.56884942276918,-0.785629161670019,-0.201971263158705,0.258015974062243,0.63782980357077,0.931446291520031,1.17852075949662,1.39083293413979,1.59476959850743,1.81365536514033,2.03203798316069,2.28645623469527,2.57402621445441,2.95414703134456,3.41234298558527,4.02987158495309,4.82357250812932,6.05046938513947
29,2.82510074845622,1.81942407403547,-1.33535161670821,-0.529842972197979,0.0483943359387273,0.501688554903141,0.841041458876334,1.12466518226015,1.38299500924005,1.61718705172803,1.80970795305296,2.00487977188572,2.22446956524796,2.4799148648642,2.78490235792686,3.14877356459003,3.59291315470465,4.19553482839595,4.915120024804,6.29489349095521
30,-2.09673415085906,1.69506044907373,-1.52497475433064,-0.77958071656192,-0.165905367828287,0.358750217617297,0.71463540492832,1.01706680264668,1.29501257579451,1.51507013056246,1.70691741037529,1.92572392354529,2.16643221836711,2.42237575894542,2.70812555618602,3.04367913194806,3.51681585784747,4.03647176087437,4.82526841955904,6.11829534412211
