"t","y","mu","q_001","q_005","q_010","q_015","q_020","q_025","q_030","q_035","q_040","q_045","q_050","q_055","q_060","q_065","q_070","q_075","q_080","q_085","q_090","q_095","q_099"
1,5.90784344470927,5.2565833912377,-3.25218651484551,-0.598438207979782,0.77174671351333,1.61818867387642,2.3616412776773,2.93791937098743,3.45182969454725,3.90497642517078,4.3401339533163,4.86034111108542,5.25802399927851,5.67444773049948,6.078907883472,6.57894009385363,7.06047103276966,7.52712990929358,8.12997258102459,8.75876925181808,9.64366851361696,10.883998589044,13.264182101341
2,12.2845268937423,7.44002993454843,-0.271162189941306,2.23670054771551,3.50213931392586,4.29449002894156,4.89967606646886,5.42606527948134,5.88339950986229,6.3503904560612,6.73430077785875,7.11436929340646,7.45711348720817,7.83711533560397,8.22240116474745,8.65811227719597,9.11551522122031,9.61257909168695,10.1616281072338,10.7882489891869,11.6364415273333,12.7489536432529,15.1692870616163
3,6.07222030351175,9.37784557820644,1.84426956114402,4.06931701499989,5.23776950179801,6.01160434884843,6.70619465550273,7.30192690960462,7.79678495626644,8.25362310859865,8.67338397130537,9.09084717585357,9.49680173299825,9.88209266259654,10.2758802520105,10.6865741778158,11.101122121788,11.5726222184775,12.0598749713677,12.710242002525,13.5683188713663,14.6196811217966,16.7394174620533
4,2.51471218895455,10.8382626559143,2.89183089993208,5.44207622792712,6.60196148639614,7.37403851105972,8.09975630710805,8.6076660761258,9.1088263225742,9.5866714788805,10.0420098324332,10.4554880898998,10.9008298670615,11.3830109867447,11.78466555379,12.2125674258635,12.7082556114208,13.1911359737202,13.7358869166741,14.4126655062877,15.1897952330956,16.4827219793594,19.1890383541866
5,0.499084384135299,11.7610728127503,3.17638890858412,5.56216131609045,6.8765923470571,7.77429096467731,8.47343225844166,9.1146393647254,9.77088054184614,10.302980550342,10.8022335092262,11.3016672642318,11.7645707791574,12.2116548461308,12.6807296390933,13.2068353134914,13.710667947324,14.2601072081267,14.871175255315,15.6170819393381,16.5269435041521,18.0590604720374,20.9322144686165
6,11.9653694822821,12.0688852112111,3.60324920074701,6.16928256034143,7.45586610264674,8.35517510645173,9.07995097382264,9.67590358940231,10.2102680365941,10.6824223642559,11.1334926964472,11.5919353406802,12.0536430243621,12.5270088308826,12.9141798542193,13.3279976656765,13.8714052825625,14.3902402355386,14.9843402388162,15.6959480221022,16.6021059193319,18.0839514816637,20.405129024897
7,12.0843002059193,11.8243527392756,4.10896962224661,6.36452062381423,7.6232931525728,8.43713728511881,9.01246156148221,9.59451928232869,10.1041249123838,10.5251825665182,10.92028134228,11.3244824962822,11.7486019484097,12.1535183605076,12.5620811550316,13.034177722059,13.4609495627232,13.9830188488685,14.5614291215344,15.2036277498441,16.0507550081265,17.2194728400468,19.6884833752322
8,17.124359798421,10.9405192139982,3.23689079294924,5.7443914038159,6.84842156848644,7.65265092317583,8.33926400362644,8.86149264857313,9.3730257652873,9.80923145264293,10.247396728425,10.6532241862234,11.0947788179601,11.5100692781302,11.9149698240575,12.3518044513862,12.7967343897012,13.3071685493441,13.8713755945939,14.4750668146234,15.3604347785805,16.4440468991028,18.8622496836531
9,12.1831793759033,9.49234981292192,2.0760038892952,4.24997892245637,5.40080734830404,6.20949837116396,6.78433631248881,7.33198763552331,7.73203458837918,8.16773463489525,8.57752394484605,9.00264460152483,9.44842959942146,9.83041255101129,10.2295150562276,10.6122563001061,11.0951973964312,11.5502823248108,12.0809655618023,12.7090956083092,13.4583198691857,14.7929057968308,16.9230534260766
10,4.40971102237279,7.44676887282291,-1.22471365561785,1.42053812436876,2.93460752531225,3.73716290887694,4.45094734432014,5.07644628086893,5.58217785927505,6.11236093353187,6.5760702222196,7.01459141207862,7.44575429715549,7.87368830782143,8.34570800100677,8.81164954806331,9.39193027860304,9.88637088392515,10.5371219142379,11.3000819231394,12.1828179465092,13.4944710127922,16.0464931214615
