"t","y","mu","q_001","q_005","q_010","q_015","q_020","q_025","q_030","q_035","q_040","q_045","q_050","q_055","q_060","q_065","q_070","q_075","q_080","q_085","q_090","q_095","q_099"
1,7.20884613891855,5.67462160010388,-1.33914990320428,0.715506231091458,1.81083581349075,2.54984948264669,3.13719411968178,3.64108352009974,4.09359177503169,4.51290811043713,4.91079830770305,5.29576167830357,5.67462160010388,6.0534815219042,6.43844489250471,6.83633508977063,7.25565142517607,7.70815968010802,8.21204908052598,8.79939371756107,9.53840738671702,10.6337369691163,12.688393103412
2,7.0125289933281,8.04217916745413,1.0284092093026,3.08306489095092,4.17839423204555,4.91740773839438,5.50475224603554,6.00864153544503,6.46114969068794,6.88046593371663,7.27835604332605,7.66331932911788,8.04217916745413,8.42103900579037,8.8060022915822,9.20389240119162,9.62320864422031,10.0757167994632,10.5796060888727,11.1669505965139,11.9059641028627,13.0012934439573,15.0559491256056
3,12.3368044034503,10.069201922177,3.05543345557984,5.11008870028331,6.20541780844425,6.94443115763383,7.5317755403698,8.03566472262176,8.4881727816339,8.90748893549043,9.30537896048419,9.6903421644094,10.069201922177,10.4480616799446,10.8330248838698,11.2309149088635,11.6502310627201,12.1027391217322,12.6066283039842,13.1939726867201,13.9329860359097,15.0283151440707,17.0829703887741
4,15.1773626069931,11.6834356622741,4.66966860915356,6.72432343978475,7.81965232720529,8.55866552746238,9.14600979183151,9.64989887253528,10.102406840354,10.5217229097062,10.9196128545137,11.3045759808577,11.6834356622741,12.0622953436905,12.4472584700346,12.845148414842,13.2644644841943,13.716972452013,14.2208615327167,14.8082057970859,15.547218997343,16.6425478847635,18.6972027153947
5,16.2331010970773,12.7556503219873,5.74188458586492,7.79653903068678,8.8918677124338,9.63088077392393,10.2182249280055,10.7221139140923,11.1746217969421,11.593937787558,11.9918276576524,12.3767907117106,12.7556503219873,13.1345099322639,13.5194729863222,13.9173628564165,14.3366788470324,14.7891867298822,15.293075715969,15.8804198700506,16.6194329315407,17.7147616132877,19.7694160581096
6,9.29613542956247,13.193761716653,6.17999718966515,8.23465128027593,9.32997977319432,10.0689927072827,10.6563367601094,11.1602256593285,11.6127334641685,12.0320493824966,12.4299391839969,12.8149021716896,13.193761716653,13.5726212616164,13.9575842493091,14.3554740508094,14.7747899691375,15.2272977739775,15.7311866731966,16.3185307260233,17.0575436601117,18.15287215303,20.2075262436408
7,12.5151059247725,12.8808208399236,5.86705740998442,7.92171117921921,9.01703950081327,9.7560523193099,10.3433962802679,10.847285100672,11.2997928347335,11.7191086874749,12.1169984267398,12.5019613542191,12.8808208399236,13.2596803256282,13.6446432531074,14.0425329923724,14.4618488451137,14.9143565791753,15.4182453995793,16.0055893605373,16.744602179034,17.839930500628,19.8945842698628
8,13.6972585313298,11.918912194464,4.90514975186477,6.95980323186228,8.05513139926501,8.79414411372949,9.38148799200606,9.88537674147679,10.337884411838,10.7572002055515,11.1550898888048,11.5400527620921,11.918912194464,12.2977716268358,12.6827345001231,13.0806241833764,13.4999399770899,13.9524476474511,14.4563363969219,15.0436802751984,15.7826929896629,16.8780211570656,18.9326746370632
9,8.32057526708756,10.3258532043166,3.31209164723214,5.36674486782168,6.46207289693497,7.20108551809623,7.78842932221836,8.29231800807118,8.74482562130154,9.16414136207482,9.56203099509297,9.94699381977724,10.3258532043166,10.704712588856,11.0896754135402,11.4875650465584,11.9068807873317,12.359388400562,12.8632770864149,13.450620890537,14.1896335116982,15.2849615408115,17.3396147614011
10,7.18765745550203,8.11143850425951,1.0976777428693,3.15233073036341,4.24765863521439,4.98667117253646,5.57401491002586,6.07790353871372,6.53041110060819,6.94972679381112,7.34761638168966,7.73257916270083,8.11143850425951,8.4902978458182,8.87526062682937,9.27315021470791,9.69246590791084,10.1449734698053,10.6488620984932,11.2362058359826,11.9752183733046,13.0705462781556,15.1251992656497
11,5.22303425685071,5.42567690546128,-1.588083135363,0.466569641044213,1.56189743336556,2.30090989476441,2.88825357191245,3.39214214883279,3.84464966423843,4.26396531436253,4.66185486136347,5.04681760282509,5.42567690546128,5.80453620809746,6.18949894955908,6.58738849656002,7.00670414668412,7.45921166208976,7.96310023901011,8.55044391615814,9.289456377557,10.3847841698783,12.4394369462856
12,0.0864534429243702,2.39375097954989,-4.62000839974494,-2.56535581713011,-1.47002812811877,-0.731015736422691,-0.143672114672208,0.360216414721972,0.812723887447642,1.23203949802239,1.62992900749486,2.01489171264726,2.39375097954989,2.77261024645252,3.15757295160491,3.55546246107739,3.97477807165214,4.42728554437781,4.93117407377199,5.51851769552247,6.25753008721855,7.35285777622989,9.40751035884472
13,1.32340297865169,-0.86368951754727,-7.87744827788122,-5.8227958765885,-4.7274682842393,-3.9884559577607,-3.40111238784301,-2.89722390291675,-2.44471647012464,-2.02540089655429,-1.62751142219538,-1.24254875101575,-0.86368951754727,-0.484830284078791,-0.0998676128991638,0.298021861459755,0.717337435030103,1.16984486782221,1.67373335274847,2.26107692266616,3.00008924914476,4.09541684149395,6.15006924278669
14,-0.914676099398421,-4.12212307239677,-11.1358812402272,-9.08122901250603,-7.98590151268716,-7.24688924863834,-6.65954572833785,-6.15565728597873,-5.70314989141324,-5.28383435326554,-4.88594491251926,-4.50098227386024,-4.12212307239677,-3.7432638709333,-3.35830123227429,-2.960411791528,-2.5410962533803,-2.08858885881481,-1.58470041645569,-0.997356896155205,-0.258344632106384,0.83698286771248,2.8916350954337
15,-9.18455642956745,-7.25596265259946,-14.2697202391233,-12.2150681816935,-11.1197407726564,-10.3807285698576,-9.79338509823665,-9.28949669764027,-8.836989340579,-8.41767383718455,-8.0197844294157,-7.63482182266274,-7.25596265259946,-6.87710348253619,-6.49214087578322,-6.09425146801438,-5.67493596461993,-5.22242860755866,-4.71854020696227,-4.13119673534135,-3.39218453254253,-2.2968571235054,-0.242205066075619
16,-7.75735168235217,-10.173237732871,-17.1869947352318,-15.1323428489302,-14.0370155311209,-13.2980033898731,-12.7106599671709,-12.2067716085424,-11.7542642891697,-11.3349488206993,-10.9370594460699,-10.5520968713798,-10.173237732871,-9.79437859436217,-9.40941601967204,-9.01152664504267,-8.59221117657224,-8.13970385719948,-7.63581549857104,-7.04847207586887,-6.30945993462102,-5.2141326168117,-3.15948073051012
17,-11.2543538792668,-12.6436167329568,-19.6573731357832,-17.6027214251128,-16.5073942009319,-15.7683821228546,-15.1810387503584,-14.6771504348023,-14.2246431541097,-13.8053277214823,-13.4074383808644,-13.0224758390808,-12.6436167329568,-12.2647576268328,-11.8797950850492,-11.4819057444313,-11.0625903118039,-10.6100830311114,-10.1061947155552,-9.518851343059,-8.77983926498176,-7.68451204080078,-5.6298603301304
18,-18.6505194292901,-14.608644523361,-21.6224003006926,-19.5677487732584,-18.47242164676,-17.7334096345887,-17.1460663144725,-16.6421780438536,-16.1896708035162,-15.7703554082838,-15.3724661031502,-14.9875035956979,-14.608644523361,-14.2297854510241,-13.8448229435719,-13.4469336384383,-13.0276182432059,-12.5751110028685,-12.0712227322496,-11.4838794121334,-10.7448673999621,-9.64954027346365,-7.59488874602946
19,-10.7785576938291,-16.0300188455616,-23.0437739632469,-20.9891226290534,-19.8937956055709,-19.1547836629039,-18.5674403980276,-18.0635521747996,-17.6110449770206,-17.191729621225,-16.793840353513,-16.4088778822666,-16.0300188455616,-15.6511598088565,-15.2661973376101,-14.8683080698981,-14.4489927141025,-13.9964855163235,-13.4925972930955,-12.9052540282192,-12.1662420855522,-11.0709150620697,-9.01626372787618
20,-13.0014801414205,-16.7159129307751,-23.7296673493866,-21.675016219984,-20.5796893056747,-19.8406774366664,-19.2533342303316,-18.7494460573271,-18.2969389046504,-17.8776235906487,-17.479734362595,-17.0947719297186,-16.7159129307751,-16.3370539318316,-15.9520914989551,-15.5542022709015,-15.1348869568998,-14.682379804223,-14.1784916312185,-13.5911484248837,-12.8521365558754,-11.7568096415662,-9.70215851216354
21,-20.3799733385465,-16.76612129938,-23.7798749775948,-21.7252240650884,-20.6298972664057,-19.8908854754101,-19.3035423310774,-18.7996542112651,-18.3471471063566,-17.9278318366193,-17.5299426505682,-17.1449802583298,-16.76612129938,-16.3872623404302,-16.0022999481917,-15.6044107621407,-15.1850954924034,-14.7325883874949,-14.2287002676826,-13.6413571233498,-12.9023453323543,-11.8070185336716,-9.75236762116519
22,-15.9604389202204,-16.266600699992,-23.2803535982639,-21.2257029142387,-20.1303762373584,-19.3913645285424,-18.8040214495233,-18.3001333857443,-17.8476263311555,-17.4283111080469,-17.0304219662418,-16.6454596168119,-16.266600699992,-15.887741783172,-15.5027794337421,-15.1048902919371,-14.6855750688285,-14.2330680142396,-13.7291799504607,-13.1418368714416,-12.4028251626255,-11.3074984857453,-9.25284780172
23,-17.5683580097896,-15.1690233251756,-22.1827754094035,-20.1281249638492,-19.0327984140969,-18.2937867910535,-17.7064437802038,-17.202555774908,-16.750048772839,-16.3307335983977,-15.9328445027733,-15.5478821980237,-15.1690233251756,-14.7901644523275,-14.4052021475779,-14.0073130519534,-13.5879978775122,-13.1354908754432,-12.6316028701474,-12.0442598592977,-11.3052482362543,-10.209921686502,-8.15527124094768
24,-16.4319947732382,-13.6325810614304,-20.6463323062496,-18.5916821065967,-17.4963556879335,-16.7573441533353,-16.170001212779,-15.6661132677889,-15.213606319876,-14.7942911956186,-14.3964021476137,-14.0114398889365,-13.6325810614304,-13.2537222339243,-12.8687599752471,-12.4708709272422,-12.0515558029848,-11.599048855072,-11.0951609100818,-10.5078179695255,-9.7688064349273,-8.67348001626414,-6.6188298166112
25,-10.3609627757743,-11.751915903927,-18.7656662952401,-16.7110163456184,-15.6156900602459,-14.8766786155783,-14.289335746496,-13.7854478628241,-13.3329409699771,-12.9136258967462,-12.5157368971606,-12.1307746853296,-11.751915903927,-11.3730571225244,-10.9880949106934,-10.5902059111078,-10.170890837877,-9.71838394502987,-9.214496061358,-8.62715319227573,-7.88814174760812,-6.79281546223565,-4.73816551261389
26,-5.82387251889412,-9.6162184962338,-16.6299680326605,-14.5753183334743,-13.4799921816081,-12.7409808270165,-12.1536380295238,-11.6497502072694,-11.1972433695771,-10.7779283474555,-10.3800393963674,-9.99507723145839,-9.6162184962338,-9.23735976100921,-8.8523975961002,-8.45450864501215,-8.03519362289047,-7.58268678519819,-7.07879896294381,-6.49145616545111,-5.75244481085955,-4.65711865899334,-2.60246895980712
27,-3.90769924120587,-7.38682818188093,-14.4005768749368,-12.3459274228127,-11.2506014026543,-10.5115901369255,-9.92424741005801,-9.42035964839379,-8.96785286511336,-8.54853789341237,-8.15064899016861,-7.76568687154952,-7.38682818188093,-7.00796949221235,-6.62300737359325,-6.2251184703495,-5.80580349864851,-5.35329671536807,-4.84940895370386,-4.26206622683641,-3.52305496110753,-2.4277289409492,-0.373079488825073
28,-12.3336222833668,-5.23342412385581,-12.2471719968411,-10.1925227849533,-9.09719689286413,-8.35818571354288,-7.77084305534947,-7.26695535260147,-6.81444862222962,-6.39513369955632,-5.99724484283505,-5.61228276922699,-5.23342412385581,-4.85456547848463,-4.46960340487657,-4.0717145481553,-3.65239962548199,-3.19989289511014,-2.69600519236214,-2.10866253416874,-1.36965135484749,-0.274325462758286,1.78032374912947
29,-3.70258861772761,-3.38829500556646,-10.4020420913193,-8.34739311004815,-7.25206734089978,-6.51305624452613,-5.92571365225685,-5.42182600606588,-4.96931932648398,-4.55000445087514,-4.15211563881345,-3.76715360841404,-3.38829500556646,-3.00943640271888,-2.62447437231948,-2.22658556025778,-1.80727068464894,-1.35476400506705,-0.850876358876075,-0.263533766606795,0.475477329766858,1.57080309891522,3.62545208018641
30,4.70566730144644,-1.79110980097847,-8.80485613878944,-6.75020737662482,-5.65488172428135,-4.91587070671541,-4.32852817708001,-3.82464058462332,-3.37213395329647,-2.95281912240313,-2.55493035277206,-2.16996836342479,-1.79110980097847,-1.41225123853214,-1.02728924918487,-0.629400479553803,-0.210085648660459,0.242420982666386,0.746308575123073,1.33365110475848,2.07266212232442,3.16798777466788,5.2226365368325
31,-1.76189792082643,-0.529836585033738,-7.54358221709797,-5.48893366167902,-4.3936081195509,-3.65459717634673,-3.06725470581171,-2.56336716405788,-2.11086057826378,-1.6915457895633,-1.29365705996914,-0.908695109358037,-0.529836585033738,-0.150978060709438,0.233983889901666,0.631872619495828,1.0511874081963,1.50369399399041,2.00758153574423,2.59492400627926,3.33393494948343,4.42926049161154,6.48390904703049
32,-3.02454162112354,0.19412253779656,-6.81962242999415,-4.76497406917146,-3.66964863078188,-2.93063775756962,-2.34329534266194,-1.83940784863142,-1.38690130569432,-0.967586556707249,-0.569697864797225,-0.184735950645958,0.19412253779656,0.572981026239079,0.957942940390346,1.35583163230037,1.77514638128744,2.22765292422454,2.73154041825506,3.31888283316274,4.057893706375,5.15321914476458,7.20786750558728
33,1.49212502862133,0.41561891373237,-6.59812542715073,-4.5434772499781,-3.44815190949169,-2.70914110233423,-2.12179873992481,-1.61791129093313,-1.1654047884423,-0.74609007693472,-0.348201420589069,0.0367604591532544,0.41561891373237,0.794477368311486,1.17943924805381,1.57732790439946,1.99664261590704,2.44914911839787,2.95303656738955,3.54037892979897,4.27938973695643,5.37471507744284,7.42936325461547
34,4.05840628061915,0.209681069274692,-6.80406267502524,-4.74941467261924,-3.65408942530029,-2.91507868100246,-2.32773636855189,-1.82384896242045,-1.37134249841943,-0.952027822578411,-0.554139200076834,-0.169177353079043,0.209681069274692,0.588539491628428,0.973501338626219,1.3713899611278,1.79070463696882,2.24321110096983,2.74709850710127,3.33444081955185,4.07345156384967,5.16877681116862,7.22342481357462
35,-1.26679327432181,-0.393275452830015,-7.407018621432,-5.3523707876744,-4.25704563026128,-3.51803494662249,-2.9306926823818,-2.42680531761015,-1.9742988907515,-1.55498424932842,-1.1570956594861,-0.772133844086519,-0.393275452830015,-0.0144170615735116,0.37054475382607,0.76843334366839,1.18774798509148,1.64025441195012,2.14414177672177,2.73148404096246,3.47049472460125,4.56581988201437,6.62046771577197
36,-0.846997080160199,-1.39128731078582,-8.40502991325451,-6.35038224534338,-5.2550571763424,-4.51604655235487,-3.9287043355231,-3.42481701142408,-2.97231062109072,-2.55299601351375,-2.15510745578809,-1.77014567146174,-1.39128731078582,-1.0124289501099,-0.627467165783553,-0.229578608057889,0.189735999519078,0.642242389852441,1.14612971395146,1.73347193078323,2.47248255477076,3.56780762377174,5.62245529168287
37,-3.2834206014686,-2.62192110438201,-9.63566313751864,-7.58101563639105,-6.48569065630175,-5.7466800923025,-5.15933792314753,-4.65545063995096,-4.20294428634925,-3.78362971280964,-3.3857411873821,-3.00077943430456,-2.62192110438201,-2.24306277445945,-1.85810102138191,-1.46021249595437,-1.04089792241476,-0.588391568813053,-0.0845042856164793,0.502837883538497,1.24184844753774,2.33717342762703,4.39182092875463
38,-3.90708182878648,-3.99134528526555,-11.005086732028,-8.95043940267634,-7.85511451416017,-7.11610401194489,-6.52876189189384,-6.02487465082407,-5.57236833505353,-5.15305379657014,-4.75516530440752,-4.37020358351417,-3.99134528526555,-3.61248698701692,-3.22752526612358,-2.82963677396096,-2.41032223547756,-1.95781591970702,-1.45392867863725,-0.866586558586204,-0.12757605637092,0.967748832145241,3.02239616149687
39,-4.30004937663182,-5.35056636834085,-12.3643071971088,-10.3096600487962,-9.21433525679122,-8.47532481969159,-7.88798275139241,-7.38409555472113,-6.93158927882181,-6.51227477728503,-6.11438632018114,-5.72942463320753,-5.35056636834085,-4.97170810347417,-4.58674641650056,-4.18885795939667,-3.76954345785989,-3.31703718196057,-2.81314998528929,-2.22580791699011,-1.48679747989048,-0.391472687885536,1.6631744604271
40,-11.5166022962596,-6.56698015637942,-13.5807203206394,-11.5260733669917,-10.4307486787619,-9.69173831167886,-9.10439629902667,-8.60050915009554,-8.14800291706835,-7.728688455259,-7.33080003585255,-6.94583838535165,-6.56698015637942,-6.18812192740719,-5.80316027690628,-5.40527185749983,-4.98595739569048,-4.5334511626633,-4.02956401373217,-3.44222200107997,-2.70321163399696,-1.60788694576718,0.446760007880513
41,-8.79516973195738,-7.58614872331826,-14.5998881619351,-12.5452414208616,-11.4499168459544,-10.7109065553295,-10.1235646034439,-9.61967750664502,-9.16717132043423,-8.74785690200724,-8.34996852376642,-7.96500691309373,-7.58614872331826,-7.20729053354278,-6.8223289228701,-6.42444054462927,-6.00512612620229,-5.5526199399915,-5.04873284319265,-4.46139089130699,-3.72238060068215,-2.62705602577491,-0.572409284701452
42,-9.04824906372874,-8.20432462672788,-15.2180632650305,-13.1634167584058,-12.0680923084824,-11.3290821021835,-10.7417402173175,-10.2378531780155,-9.78534704343867,-9.36603267285825,-8.96814434001913,-8.58318277327312,-8.20432462672788,-7.82546648018264,-7.44050491343662,-7.0426165805975,-6.62330221001708,-6.17079607544025,-5.66690903613826,-5.07956715127221,-4.34055694497336,-3.24523249504992,-1.19058598842529
43,-6.35708210713068,-8.37191737569127,-15.3856551275956,-13.3310088806378,-12.2356845691418,-11.4966744562392,-10.9093326456016,-10.405445669981,-9.95293959259201,-9.53362527500465,-9.13573699245077,-8.75077547435631,-8.37191737569127,-7.99305927702622,-7.60809775893176,-7.21020947637788,-6.79089515879052,-6.33838908140154,-5.83450210578093,-5.24716029514332,-4.50815018224077,-3.41282587074474,-1.35817962378691
44,-11.2270518990971,-8.01164588893523,-15.0253826602499,-12.9707367005519,-11.875412542193,-11.1364025326113,-10.5490608040899,-10.0451738989176,-9.59266788479348,-9.1733536258304,-8.77546539890522,-8.39050393463218,-8.01164588893523,-7.63278784323828,-7.24782637896524,-6.84993815204006,-6.43062389307698,-5.97811787895281,-5.47423097378057,-4.88688924525913,-4.14787923567749,-3.05255507731859,-0.997909117620566
45,-5.74849089303501,-7.18424542929159,-14.1979811222013,-12.1433354784177,-11.0480114884716,-10.3090015925172,-9.72165995430318,-9.21777312660663,-8.76526718205803,-8.34595298756709,-7.94806482181966,-7.5631034167368,-7.18424542929159,-6.80538744184639,-6.42042603676352,-6.0225378710161,-5.60322367652515,-5.15071773197655,-4.64683090428001,-4.05948926606595,-3.32047937011162,-2.22515538016552,-0.170509736381885
46,-8.17113862061096,-5.8081897014357,-12.8219242199648,-10.7672789202113,-9.67195511366632,-8.93294534145187,-8.34560380158235,-7.84171705825667,-7.38921118947571,-6.96989706519477,-6.57200896606977,-6.18704762544488,-5.8081897014357,-5.42933177742651,-5.04437043680162,-4.64648233767662,-4.22716821339568,-3.77466234461472,-3.27077560128904,-2.68343406141952,-1.94442428920507,-0.849100482660125,1.20554481709345
47,3.60672131458948,-4.01845757452312,-11.03219083058,-8.97754590066256,-7.88222229127591,-7.14321265208323,-6.5558712179352,-6.05198456530914,-5.59947877797924,-5.18016472917485,-4.78227670166972,-4.39731543033787,-4.01845757452312,-3.63959971870836,-3.25463844737652,-2.85675041987139,-2.43743637106699,-1.9849305837371,-1.48104393111103,-0.893702496962999,-0.154692857770324,0.940630751616323,2.99527568153372
48,-4.92783085491708,-1.76365870668491,-8.7773906261244,-6.72274608776368,-5.62742268711444,-4.88841318875591,-4.30107186653839,-3.79718530993874,-3.34467960884352,-2.92536563994842,-2.52747768826939,-2.14251649030017,-1.76365870668491,-1.38480092306965,-0.999839725100436,-0.601951773421404,-0.182637804526301,0.269867896568911,0.773754453168562,1.36109577538608,2.10010527374462,3.19542867439385,5.25007321275457
49,-0.771241323887295,0.638323052125958,-6.37540747593144,-4.3207633451705,-3.2254401618112,-2.48643081005715,-1.89908960435623,-1.39520314771745,-0.942697536390187,-0.523383650678467,-0.125495777932331,0.259465343668393,0.638323052125958,1.01718076058352,1.40214188218425,1.80002975493039,2.21934364064211,2.67184925196937,3.17573570860815,3.76307691430907,4.50208626606312,5.59740944942242,7.65205358018335
50,11.1989831008784,3.17962439395022,-3.8341047115129,-1.77946099749523,-0.684138036300224,0.0548711655606273,0.642212252131188,1.14609860656673,1.59860412611233,2.01791792677465,2.41580571881723,2.80076676233633,3.17962439395022,3.55848202556412,3.94344306908321,4.34133086112579,4.76064466178812,5.21315018133371,5.71703653576926,6.30437762233982,7.04338682420067,8.13870978539567,10.1933534994133
51,7.91273648590624,5.7895981824047,-1.22412949520591,0.830513800528112,1.92583653873766,2.66484559015127,3.25218655715114,3.75607280900568,4.20857823643036,4.62789195172893,5.02577966276965,5.41074062791851,5.7895981824047,6.16845573689089,6.55341670203975,6.95130441308047,7.37061812837904,7.82312355580372,8.32700980765826,8.91435077465813,9.65335982607174,10.7486825642813,12.8033258600153
52,12.4254647868265,8.16546207365517,1.15173580286929,3.20637868647967,4.30170120498762,5.04071010816962,5.6280509573597,6.13193710814392,6.58444244480434,7.00375607599629,7.40164370722806,7.78660459516084,8.16546207365517,8.54431955214951,8.92928044008228,9.32716807131405,9.746481702506,10.1989870391664,10.7028731899506,11.2902140391407,12.0292229423227,13.1245454608307,15.1791883444411
53,8.83680757253334,10.2412398052567,3.22751489575364,5.2821573805817,6.37747968650027,7.11648844624922,7.70382918144326,8.20771523442904,8.66022048326342,9.07953403307147,9.47742158707787,9.86238240029421,10.2412398052567,10.6200972102192,11.0050580234355,11.4029455774419,11.82225912725,12.2747643760844,12.7786504290701,13.3659911642642,14.1049999240131,15.2003222299317,17.2549647147598
54,9.78370141256617,11.8095113129344,4.79578769830022,6.85042980380166,7.94575190750262,8.68476053081631,9.27210115757592,9.77598711753462,10.2284922828278,10.6478057552225,11.0456932357712,11.4306539779163,11.8095113129344,12.1883686479526,12.5733293900977,12.9712168706464,13.3905303430411,13.8430355083343,14.346921468293,14.9342620950526,15.6732707183663,16.7685928220672,18.8232349275687
55,11.6018859220332,12.8135503593604,5.79982795736132,7.85446970762617,8.94979162195182,9.68880011749488,10.2761406427065,10.780026515546,11.2325316026034,11.6518450025011,12.0497324142572,12.4346930898447,12.8135503593604,13.1924076288761,13.5773683044636,13.9752557162197,14.3945691161173,14.8470742031748,15.3509600760143,15.9383006012259,16.6773090967689,17.7726310110946,19.8272727613594
56,17.4359261239498,13.1905081971145,6.17678691555631,8.23142833759252,9.3267500769407,10.0657584544273,10.6530988858113,11.1569846781552,11.609489692925,12.0288030258374,12.4266903740311,12.8116509881212,13.1905081971145,13.5693654061079,13.954326020198,14.3522133683916,14.771526701304,15.2240317160739,15.7279175084177,16.3152579398018,17.0542663172884,18.1495880566365,20.2042294786727
57,19.8413902578158,12.9426945099786,5.92897425272676,7.98361537469653,9.0789369540804,9.81794522363984,10.4052855692468,10.9091712880015,11.3616762366861,11.7809895083606,12.1788767984455,12.5638373563148,12.9426945099786,13.3215516636424,13.7065122215116,14.1043995115965,14.523712783271,14.9762177319556,15.4801034507103,16.0674437963173,16.8064520658767,17.9017736452606,19.9564147672304
58,12.2207338736233,12.0348914756638,5.02117214824206,7.07581299782187,8.17113443199566,8.91014260358254,9.49748287132401,10.0013685232771,10.4538734119717,10.8731866280567,11.2710738653924,11.6560343722263,12.0348914756638,12.4137485791014,12.7987090859353,13.196596323271,13.6159095393559,14.0684144280506,14.5723000800037,15.1596403477452,15.898648519332,16.9939699535058,19.0486108030856
