"t","y","mu","q_true_05","q_true_50","q_true_95","q_syn_05","q_syn_50","q_syn_95","window","q_model_p005","q_model_p050","q_model_p095"
1,7.20884613891855,5.67462160010388,0.715506231091458,5.67462160010388,10.6337369691163,0.0985826447496851,5.50490732270327,9.35597717936537,"train",0.0535851766245918,5.73478003969056,9.30819436655398
2,7.0125289933281,8.04217916745413,3.08306489095092,8.04217916745413,13.0012934439573,1.96604341303947,7.10650271717285,12.7211300906573,"train",1.85061866956133,7.1242886318908,12.4458363288294
3,12.3368044034503,10.069201922177,5.11008870028331,10.069201922177,15.0283151440707,4.02789501493007,9.29164656733217,14.8426323191572,"train",4.25409295470969,9.23752628477324,14.2664105303297
4,15.1773626069931,11.6834356622741,6.72432343978475,11.6834356622741,16.6425478847635,5.71125442337047,10.6960680819134,15.9098968423459,"train",5.77704907787672,10.6838025406915,15.7711133536874
5,16.2331010970773,12.7556503219873,7.79653903068678,12.7556503219873,17.7147616132877,6.22387180203643,11.6349470131841,16.9858866908891,"train",6.30657755948994,11.5466679019816,16.5921640718629
6,9.29613542956247,13.193761716653,8.23465128027593,13.193761716653,18.15287215303,7.02803885171037,11.6092424416819,16.5299586162707,"train",7.05636300648921,11.6030948452934,16.4053794912096
7,12.5151059247725,12.8808208399236,7.92171117921921,12.8808208399236,17.839930500628,7.00736943324241,11.4583047128362,16.496579383286,"train",7.12090121116289,11.4286530983335,16.438385440186
8,13.6972585313298,11.918912194464,6.95980323186228,11.918912194464,16.8780211570656,5.01822090800181,10.4571390790384,15.0103913267565,"train",5.12555325956576,10.4189351688957,14.9947680063179
9,8.32057526708756,10.3258532043166,5.36674486782168,10.3258532043166,15.2849615408115,4.12766788690969,8.747708163116,13.8524220184839,"train",4.13031456359533,8.50593795383044,13.7015280667916
10,7.18765745550203,8.11143850425951,3.15233073036341,8.11143850425951,13.0705462781556,1.15959488327441,6.65343001132322,11.927520236896,"train",1.490176263831,6.355595070015,12.0933931512304
11,5.22303425685071,5.42567690546128,0.466569641044213,5.42567690546128,10.3847841698783,-1.08270742716018,4.28972612667945,9.1340632612523,"train",-0.878888314490595,4.32286018953765,9.1101436746152
12,0.0864534429243702,2.39375097954989,-2.56535581713011,2.39375097954989,7.35285777622989,-3.90105296703605,1.19667672907653,5.95513209107965,"train",-3.81065440800869,1.23924515415922,6.05860569273581
