"window","p","coverage","coverage_error","pinball","rmse_true_q"
"train",0.01,0.012,0.002,0.0813760589138701,1.11149184561011
"train",0.05,0.0535,0.0035,0.314700469104409,0.663347472721902
"train",0.1,0.08625,-0.01375,0.543042261822888,0.777599432857266
"train",0.15,0.12775,-0.02225,0.722802844075651,0.780933201361198
"train",0.2,0.18975,-0.01025,0.866146323200215,0.70960938286606
"train",0.25,0.25975,0.00974999999999998,0.982477210278207,0.67961867223244
"train",0.3,0.33875,0.03875,1.07729901218312,0.715770383099473
"train",0.35,0.40875,0.05875,1.15494563555371,0.76504596307577
"train",0.4,0.46125,0.06125,1.20360206777905,0.749376341374577
"train",0.45,0.49275,0.04275,1.22348076421428,0.64726038114175
"train",0.5,0.50575,0.00575000000000003,1.22671065549844,0.58762346756953
"train",0.55,0.51775,-0.03225,1.22043035899324,0.654439141281589
"train",0.6,0.54825,-0.05175,1.20081929823799,0.757361123312
"train",0.65,0.59525,-0.0547500000000001,1.15120329337691,0.775447705234138
"train",0.7,0.6615,-0.0385,1.07397968280029,0.721551857422985
"train",0.75,0.743,-0.00700000000000001,0.977071178430272,0.680970534548908
"train",0.8,0.82025,0.02025,0.864522036246817,0.714551354168703
"train",0.85,0.87675,0.0267500000000001,0.7285788253867,0.788225506679989
"train",0.9,0.92075,0.0207499999999999,0.54931689508959,0.777130370235148
"train",0.95,0.948,-0.002,0.322624759082296,0.666145476934827
"train",0.99,0.986,-0.004,0.0877290353487613,1.13635647433529
"forecast",0.01,0.006,-0.004,0.078150863136067,1.0359318022347
"forecast",0.05,0.041,-0.009,0.301514741783212,0.546883017063578
"forecast",0.1,0.072,-0.028,0.526665140022899,0.66801981395336
"forecast",0.15,0.113,-0.037,0.699439026209768,0.673626763417032
"forecast",0.2,0.174,-0.026,0.836025736702663,0.582736465874953
"forecast",0.25,0.246,-0.004,0.942475318996429,0.547032397149891
"forecast",0.3,0.321,0.021,1.02944818296555,0.608580504723473
"forecast",0.35,0.398,0.048,1.10627882216336,0.674286455947133
"forecast",0.4,0.45,0.05,1.15477346221671,0.656067787235128
"forecast",0.45,0.481,0.031,1.181115783874,0.533881906133604
"forecast",0.5,0.496,-0.004,1.19011278968404,0.44218372835012
"forecast",0.55,0.506,-0.044,1.18839876294431,0.516034463393826
"forecast",0.6,0.535,-0.0649999999999999,1.17101274272073,0.62919700881453
"forecast",0.65,0.597,-0.053,1.12166851025181,0.649324379330828
"forecast",0.7,0.658,-0.0419999999999999,1.04688647341214,0.597508690968529
"forecast",0.75,0.727,-0.023,0.950376003439781,0.544269340889479
"forecast",0.8,0.814,0.0139999999999999,0.830878332079203,0.597534727299616
"forecast",0.85,0.879,0.029,0.693827566620393,0.68614460350565
"forecast",0.9,0.927,0.027,0.527075353952786,0.687994263782332
"forecast",0.95,0.951,0.001,0.308957093077275,0.539020111508236
"forecast",0.99,0.99,0,0.078619127655732,1.03153495925074
