parent_task_id	parent_task_type	child_task_id	child_task_type	dependency_role	root_kind	family	tau	fit_size	prior
post__root__dynamic__gausmix__tau_0p05__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p05__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.05	500	default
post__root__dynamic__gausmix__tau_0p05__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p05__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.05	500	default
review__root__dynamic__gausmix__tau_0p05__lasttt_500	root_review	post__root__dynamic__gausmix__tau_0p05__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.05	500	default
post__root__dynamic__gausmix__tau_0p05__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.05	5000	default
post__root__dynamic__gausmix__tau_0p05__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p05__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.05	5000	default
review__root__dynamic__gausmix__tau_0p05__lasttt_5000	root_review	post__root__dynamic__gausmix__tau_0p05__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.05	5000	default
post__root__dynamic__gausmix__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p25__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.25	500	default
post__root__dynamic__gausmix__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p25__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.25	500	default
review__root__dynamic__gausmix__tau_0p25__lasttt_500	root_review	post__root__dynamic__gausmix__tau_0p25__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.25	500	default
post__root__dynamic__gausmix__tau_0p25__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.25	5000	default
post__root__dynamic__gausmix__tau_0p25__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.25	5000	default
review__root__dynamic__gausmix__tau_0p25__lasttt_5000	root_review	post__root__dynamic__gausmix__tau_0p25__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.25	5000	default
post__root__dynamic__gausmix__tau_0p95__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p95__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.95	500	default
post__root__dynamic__gausmix__tau_0p95__lasttt_500	root_postprocess	mp__root__dynamic__gausmix__tau_0p95__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.95	500	default
review__root__dynamic__gausmix__tau_0p95__lasttt_500	root_review	post__root__dynamic__gausmix__tau_0p95__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.95	500	default
post__root__dynamic__gausmix__tau_0p95__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	gausmix	0.95	5000	default
post__root__dynamic__gausmix__tau_0p95__lasttt_5000	root_postprocess	mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	gausmix	0.95	5000	default
review__root__dynamic__gausmix__tau_0p95__lasttt_5000	root_review	post__root__dynamic__gausmix__tau_0p95__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	gausmix	0.95	5000	default
post__root__dynamic__laplace__tau_0p05__lasttt_500	root_postprocess	mp__root__dynamic__laplace__tau_0p05__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	laplace	0.05	500	default
post__root__dynamic__laplace__tau_0p05__lasttt_500	root_postprocess	mp__root__dynamic__laplace__tau_0p05__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	laplace	0.05	500	default
review__root__dynamic__laplace__tau_0p05__lasttt_500	root_review	post__root__dynamic__laplace__tau_0p05__lasttt_500	root_postprocess	requires_postprocess_done	dynamic	laplace	0.05	500	default
post__root__dynamic__laplace__tau_0p05__lasttt_5000	root_postprocess	mp__root__dynamic__laplace__tau_0p05__lasttt_5000__dqlm	model_path	requires_model_path_done	dynamic	laplace	0.05	5000	default
post__root__dynamic__laplace__tau_0p05__lasttt_5000	root_postprocess	mp__root__dynamic__laplace__tau_0p05__lasttt_5000__exdqlm	model_path	requires_model_path_done	dynamic	laplace	0.05	5000	default
review__root__dynamic__laplace__tau_0p05__lasttt_5000	root_review	post__root__dynamic__laplace__tau_0p05__lasttt_5000	root_postprocess	requires_postprocess_done	dynamic	laplace	0.05	5000	default
post__root__dynamic__laplace__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__laplace__tau_0p25__lasttt_500__dqlm	model_path	requires_model_path_done	dynamic	laplace	0.25	500	default
post__root__dynamic__laplace__tau_0p25__lasttt_500	root_postprocess	mp__root__dynamic__laplace__tau_0p25__lasttt_500__exdqlm	model_path	requires_model_path_done	dynamic	laplace	0.25	500	default
