root_id	root_kind	family	tau	fit_size	prior	prepared_present	run_root	model_a_complete	model_b_complete	root_postprocess_complete	root_review_complete	root_state
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	TRUE	TRUE	TRUE	TRUE	complete
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	partial
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	TRUE	TRUE	TRUE	TRUE	complete
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	FALSE	FALSE	FALSE	FALSE	missing
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	FALSE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__gausmix__tau_0p05__tt_100	static_paper	gausmix	0.05	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	TRUE	TRUE	TRUE	TRUE	complete
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	TRUE	TRUE	TRUE	TRUE	complete
root__static_paper__gausmix__tau_0p25__tt_100	static_paper	gausmix	0.25	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	TRUE	FALSE	FALSE	FALSE	partial
root__static_paper__gausmix__tau_0p25__tt_1000	static_paper	gausmix	0.25	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	TRUE	FALSE	FALSE	FALSE	partial
root__static_paper__gausmix__tau_0p95__tt_100	static_paper	gausmix	0.95	100	paper	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__gausmix__tau_0p95__tt_1000	static_paper	gausmix	0.95	1000	paper	FALSE	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p05__tt_100	static_paper	laplace	0.05	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p05__tt_1000	static_paper	laplace	0.05	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p25__tt_100	static_paper	laplace	0.25	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p25__tt_1000	static_paper	laplace	0.25	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p95__tt_100	static_paper	laplace	0.95	100	paper	FALSE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__laplace__tau_0p95__tt_1000	static_paper	laplace	0.95	1000	paper	FALSE	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p95/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__normal__tau_0p05__tt_100	static_paper	normal	0.05	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__normal__tau_0p05__tt_1000	static_paper	normal	0.05	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__normal__tau_0p25__tt_100	static_paper	normal	0.25	100	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	FALSE	FALSE	FALSE	FALSE	missing
root__static_paper__normal__tau_0p25__tt_1000	static_paper	normal	0.25	1000	paper	TRUE	results/function_testing_20260309_static_paper_family_qspec/normal/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	FALSE	FALSE	FALSE	FALSE	missing
