task_id	task_type	root_id	root_kind	family	tau	fit_axis	fit_size	prior	slot_cost	threads_per_process	trigger_rule	postprocess_script	review_task_id
post__root__dynamic__gausmix__tau_0p05__lasttt_500	root_postprocess	root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p05__lasttt_500
post__root__dynamic__gausmix__tau_0p05__lasttt_5000	root_postprocess	root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p05__lasttt_5000
post__root__dynamic__gausmix__tau_0p25__lasttt_500	root_postprocess	root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p25__lasttt_500
post__root__dynamic__gausmix__tau_0p25__lasttt_5000	root_postprocess	root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p25__lasttt_5000
post__root__dynamic__gausmix__tau_0p95__lasttt_500	root_postprocess	root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p95__lasttt_500
post__root__dynamic__gausmix__tau_0p95__lasttt_5000	root_postprocess	root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__gausmix__tau_0p95__lasttt_5000
post__root__dynamic__laplace__tau_0p05__lasttt_500	root_postprocess	root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p05__lasttt_500
post__root__dynamic__laplace__tau_0p05__lasttt_5000	root_postprocess	root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p05__lasttt_5000
post__root__dynamic__laplace__tau_0p25__lasttt_500	root_postprocess	root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p25__lasttt_500
post__root__dynamic__laplace__tau_0p25__lasttt_5000	root_postprocess	root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p25__lasttt_5000
post__root__dynamic__laplace__tau_0p95__lasttt_500	root_postprocess	root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p95__lasttt_500
post__root__dynamic__laplace__tau_0p95__lasttt_5000	root_postprocess	root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__laplace__tau_0p95__lasttt_5000
post__root__dynamic__normal__tau_0p05__lasttt_500	root_postprocess	root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__normal__tau_0p05__lasttt_500
post__root__dynamic__normal__tau_0p05__lasttt_5000	root_postprocess	root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__normal__tau_0p05__lasttt_5000
post__root__dynamic__normal__tau_0p25__lasttt_500	root_postprocess	root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	lastTT	500	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__normal__tau_0p25__lasttt_500
post__root__dynamic__normal__tau_0p25__lasttt_5000	root_postprocess	root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	lastTT	5000	default	1	1	both_model_paths_done	tools/merge_reports/20260305_postprocess_from_existing_fits.R	review__root__dynamic__normal__tau_0p25__lasttt_5000
