task_id	unit_type	root_id	barrier_id	root_kind	family	tau	fit_size	prior	model	state	launch_ready	launch_mode	slot_cost	priority	prepared_root	run_root	script_ref	notes
mp__root__dynamic__gausmix__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__gausmix__tau_0p25__lasttt_5000	NA	dynamic	gausmix	0.25	5000	default	dqlm	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_500__dqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_500	NA	dynamic	gausmix	0.95	500	default	dqlm	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_500__exdqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_500	NA	dynamic	gausmix	0.95	500	default	exdqlm	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p25__lasttt_500__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_500	NA	dynamic	laplace	0.25	500	default	dqlm	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__laplace__tau_0p25__lasttt_5000__dqlm	model_path	root__dynamic__laplace__tau_0p25__lasttt_5000	NA	dynamic	laplace	0.25	5000	default	dqlm	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p25__tt_100__exal	model_path	root__static_paper__gausmix__tau_0p25__tt_100	NA	static_paper	gausmix	0.25	100	paper	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__gausmix__tau_0p25__tt_1000__exal	model_path	root__static_paper__gausmix__tau_0p25__tt_1000	NA	static_paper	gausmix	0.25	1000	paper	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p25__tt_100__exal	model_path	root__static_paper__laplace__tau_0p25__tt_100	NA	static_paper	laplace	0.25	100	paper	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_paper__laplace__tau_0p25__tt_1000__exal	model_path	root__static_paper__laplace__tau_0p25__tt_1000	NA	static_paper	laplace	0.25	1000	paper	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__rhs	NA	static_shrink	gausmix	0.25	100	rhs	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_100__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_100__ridge	NA	static_shrink	gausmix	0.25	100	ridge	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__rhs__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__rhs	NA	static_shrink	gausmix	0.25	1000	rhs	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__gausmix__tau_0p25__tt_1000__ridge__exal	model_path	root__static_shrink__gausmix__tau_0p25__tt_1000__ridge	NA	static_shrink	gausmix	0.25	1000	ridge	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_100__rhs__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_100__rhs	NA	static_shrink	laplace	0.25	100	rhs	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_rhs_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_100__ridge__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_100__ridge	NA	static_shrink	laplace	0.25	100	ridge	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_shrink_ridge_tt100	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_1000__rhs__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_1000__rhs	NA	static_shrink	laplace	0.25	1000	rhs	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_rhs_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__static_shrink__laplace__tau_0p25__tt_1000__ridge__exal	model_path	root__static_shrink__laplace__tau_0p25__tt_1000__ridge	NA	static_shrink	laplace	0.25	1000	ridge	exal	partial_reusable	TRUE	resume_mcmc_from_vb	1	0	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_shrinkage_family_qspec/laplace/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_shrink_ridge_tt1000	tools/merge_reports/20260305_static_vb_then_mcmc_pipeline.R	vb_fit=TRUE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__dqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_5000	NA	dynamic	gausmix	0.95	5000	default	dqlm	partial_stale	TRUE	fresh_vb_then_mcmc	1	1	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
mp__root__dynamic__gausmix__tau_0p95__lasttt_5000__exdqlm	model_path	root__dynamic__gausmix__tau_0p95__lasttt_5000	NA	dynamic	gausmix	0.95	5000	default	exdqlm	partial_stale	TRUE	fresh_vb_then_mcmc	1	1	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	tools/merge_reports/20260305_vb_then_mcmc_pipeline.R	vb_fit=FALSE | mcmc_fit=FALSE | status_mcmc_done=FALSE
