key	kind	family	tau	tt	prior	prepared_root	run_root	batch_label	legacy_jerez_state	legacy_jerez_session	rehomed_from_jerez	rehomed_from_jerez_session	prepared_exists	run_root_exists	run_config_exists	muscat_complete	wave_assigned	wave_batch_done	wave_batch_current	wave_batch_session	rehomed_muscat_session	current_session	current_stage	current_unified_state	sync_pending_from_jerez
dynamic|gausmix|0.05|500|	dynamic	gausmix	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
dynamic|gausmix|0.05|5000|	dynamic	gausmix	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	running_on_jerez_before_rehome	qsp_rdy5k_fix_20260311_173314	TRUE	qsp_rdy5k_fix_20260311_173314	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rdy5k_20260312_135054	mqsp_jr_rdy5k_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
dynamic|gausmix|0.25|500|	dynamic	gausmix	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
dynamic|gausmix|0.25|5000|	dynamic	gausmix	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	mqsp_dynamic_tt5000_20260312_025039		mqsp_dynamic_tt5000_20260312_025039	active_on_muscat_backlog_wave	active_on_muscat_backlog_wave	FALSE
dynamic|gausmix|0.50|500|	dynamic	gausmix	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
dynamic|gausmix|0.50|5000|	dynamic	gausmix	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|laplace|0.05|500|	dynamic	laplace	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE				complete_on_muscat	complete_on_muscat	FALSE
dynamic|laplace|0.05|5000|	dynamic	laplace	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|laplace|0.25|500|	dynamic	laplace	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	mqsp_dynamic_tt500_20260312_025039		mqsp_dynamic_tt500_20260312_025039	active_on_muscat_backlog_wave	active_on_muscat_backlog_wave	FALSE
dynamic|laplace|0.25|5000|	dynamic	laplace	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|laplace|0.50|500|	dynamic	laplace	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|laplace|0.50|5000|	dynamic	laplace	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.05|500|	dynamic	normal	0.05	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.05|5000|	dynamic	normal	0.05	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.25|500|	dynamic	normal	0.25	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.25|5000|	dynamic	normal	0.25	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.50|500|	dynamic	normal	0.50	500	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT500	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT500/validation_dynamic_tt500	dynamic_tt500	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
dynamic|normal|0.50|5000|	dynamic	normal	0.50	5000	none	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT5000	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p50/fit_input_lastTT5000/validation_dynamic_tt5000	dynamic_tt5000	not_launched_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE				queued_on_muscat_backlog_wave	queued_on_muscat	FALSE
static_paper|gausmix|0.05|100|	static_paper	gausmix	0.05	100	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_paper|gausmix|0.05|1000|	static_paper	gausmix	0.05	1000	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p05/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	complete_on_jerez		FALSE		TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE				complete_on_jerez_pending_exact_sync	complete_on_jerez_pending_sync	TRUE
static_paper|gausmix|0.25|100|	static_paper	gausmix	0.25	100	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt100_x01_sorted/validation_paper_tt100	static_paper_tt100	running_on_jerez_before_rehome	qsp_rsp100_20260310_204439	TRUE	qsp_rsp100_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rsp100_20260312_135054	mqsp_jr_rsp100_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
static_paper|gausmix|0.25|1000|	static_paper	gausmix	0.25	1000	none	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted	results/function_testing_20260309_static_paper_family_qspec/gausmix/tau_0p25/fit_input_subsample_tt1000_x01_sorted/validation_paper_tt1000	static_paper_tt1000	running_on_jerez_before_rehome	qsp_rsp1k_20260310_204439	TRUE	qsp_rsp1k_20260310_204439	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		mqsp_jr_rsp1k_20260312_135054	mqsp_jr_rsp1k_20260312_135054	active_on_muscat_rehomed_resume	active_on_muscat_rehomed_resume	FALSE
