root_id	root_kind	family	tau	fit_size	prior	inference	model	method	signoff_grade	comparison_eligible	convergence_certified	signoff_reason	status	finite_ok	domain_ok	execution_healthy	vb_converged	vb_stop_reason	vb_trace_length	vb_elbo_tail_rel_range	vb_elbo_tail_rel_drift	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_s_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	vb_delta_s_last	vb_ld_trace_rows	vb_ld_local_mode_pass	vb_ld_committed_stable_tail	vb_ld_candidate_local_pass_rate_tail	vb_ld_committed_local_pass_rate_tail	vb_ld_mode_fallback_rate	vb_ld_stabilized_rate_tail	vb_rhs_collapse_flag	vb_rhs_tau_near_zero	vb_rhs_beta_collapse	vb_rhs_tau	vb_rhs_c2	vb_rhs_lambda_mean	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_ess_tau	mcmc_ess_c2	mcmc_ess_lambda_mean	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	mcmc_accept_rate	mcmc_accept_rate_burn	mcmc_accept_rate_keep	mcmc_kernel_exact	mcmc_signoff_ready	run_root
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	1138	2.50805224455928e-06	2.50805224455928e-06	4.81553621530301e-05	0.000713854193186272	NA	0.0252959023509902	0.00206869717581526	8.73262269911711e-07	6.48979592277055e-06	0	FALSE	FALSE	0	0	1	0	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	dqlm	vb::dqlm	PASS	TRUE	TRUE	vb_converged; stable_tail	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	72	1.08986611470178e-06	1.08986611470178e-06	1.30977380070498e-05	NA	NA	0.0135923511661531	0.00046799224020333	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	exdqlm	mcmc::exdqlm	FAIL	FALSE	FALSE	geweke_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	27.3580340959327	6.37786683541095	66.9618169864381	NA	NA	NA	0.867840883462139	0.987312485392992	-0.167750667315561	2.26912463703052	0.8104680109426	16.0806229991951	0.857673726361325	0.859279319491109	0.275268156857641	0.408	0.46	0.382	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	dqlm	mcmc::dqlm	FAIL	FALSE	FALSE	geweke_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8000	1841.22814243555	NA	66.8206895035256	NA	NA	NA	0.48172596606549	NA	-0.167852580083711	0.585957461598574	NA	16.2329291273488	0.0655364787505453	NA	0.275023333930236	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	exdqlm	vb::exdqlm	FAIL	FALSE	FALSE	ld_unstable; vb_converged_false; core_parameter_tail_unstable	SUCCESS	TRUE	TRUE	TRUE	FALSE	max_iter	1200	0.00805978724972987	0.00805978724972987	0.00213935422345404	0.281971760984638	NA	0.418759687260263	0.00270396074715062	0.000776520441218519	0.000290053440445748	0	FALSE	FALSE	0.76	0	1	0	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	dqlm	vb::dqlm	WARN	TRUE	FALSE	stable_tail_but_not_certified	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	123	8.57242559939092e-06	8.57242559939092e-06	3.92605938265852e-05	NA	NA	0.021047612586699	4.49968357303376e-05	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	exdqlm	mcmc::exdqlm	FAIL	FALSE	FALSE	low_ess; geweke_drift; half_chain_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	5.00829090278582	1.67676569332173	450.975980833114	NA	NA	NA	0.990023397333548	0.99664873328108	-0.187062277117079	12.6014773443119	24.2244785762525	4.98291234928254	1.63417760865175	1.70829296268706	0.171556716000768	0.341333333333333	0.458	0.283	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	dqlm	mcmc::dqlm	WARN	TRUE	FALSE	chain_marginal_but_usable	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	221.523680057942	NA	458.594601728339	NA	NA	NA	0.516360210261209	NA	-0.187183489196825	0.658587007497676	NA	5.11676557494052	0.096975082447501	NA	0.171167250781258	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	194	1.73784272730972e-06	1.73784272730972e-06	7.62505095600388e-05	0.000310986952602222	NA	0.0249983759968018	0.00891920139946478	5.779563469685e-06	9.81391029686307e-06	0	FALSE	FALSE	0.3	0	1	1	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	vb	dqlm	vb::dqlm	PASS	TRUE	TRUE	vb_converged; stable_tail	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	34	3.0736044756981e-07	3.0736044756981e-07	2.47676680777523e-06	NA	NA	0.00143988411400642	0.000159464564490008	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	exdqlm	mcmc::exdqlm	FAIL	FALSE	FALSE	high_autocorrelation; geweke_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8000	10.5174136295608	5.65539096097985	77.2513315961779	NA	NA	NA	0.996430574301081	0.998586974510935	-0.170004070035749	2.2031567757921	1.40353613140684	15.6428487400049	0.263429990653688	0.260182876746811	0.25659012386231	0.430181818181818	0.399333333333333	0.44175	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	dqlm	mcmc::dqlm	FAIL	FALSE	FALSE	geweke_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8000	2379.28027290066	NA	125.929126197304	NA	NA	NA	0.502520693337142	NA	-0.17695695443927	1.28457915050415	NA	13.4733553978469	0.0217928854255375	NA	0.188696925061373	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	85	0.00016248330363595	0.00016248330363595	2.08058606079309e-05	0.000481337360244549	NA	0.0202592176597136	8.8707601312521e-05	7.91310255772448e-06	5.19685936495318e-06	0	FALSE	FALSE	0.3	0	1	1	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	vb	dqlm	vb::dqlm	PASS	TRUE	TRUE	vb_converged; stable_tail	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	41	1.32509504840381e-05	1.32509504840381e-05	2.85598566613488e-05	NA	NA	0.00594626624206285	6.37629302229215e-05	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	exdqlm	mcmc::exdqlm	FAIL	FALSE	FALSE	low_ess; half_chain_drift	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	6.44030057761984	1.92093117206555	496.1893080972	NA	NA	NA	0.987189081269586	0.996161668652682	-0.187748933892239	1.34550627553589	1.42635743090556	5.76039596084416	1.46861266384482	1.44534706026193	0.169254261643533	0.43	0.4225	0.445	TRUE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	dqlm	mcmc::dqlm	WARN	TRUE	FALSE	chain_marginal_but_usable	SUCCESS	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1000	309.453316103604	NA	529.289219747685	NA	NA	NA	0.526993360733459	NA	-0.188168765763426	0.251994810492915	NA	6.36410134761235	0.180068983618828	NA	0.167678867558401	NA	NA	NA	FALSE	TRUE	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	vb	exdqlm	vb::exdqlm	WARN	TRUE	FALSE	ld_unstable	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	251	1.93254214971225e-06	1.93254214971225e-06	9.49267886875717e-06	5.51056338323171e-05	NA	0.0230546127531852	0.00259462119311138	4.03695021802264e-05	4.37794341900943e-06	0	FALSE	FALSE	0	0	1	1	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	vb	dqlm	vb::dqlm	PASS	TRUE	TRUE	vb_converged; stable_tail	SUCCESS	TRUE	TRUE	TRUE	TRUE	joint_converged	87	1.74174598678993e-07	1.74174598678993e-07	5.0472316623746e-07	NA	NA	0.0183404474919371	0.000149826712686263	NA	NA	0	FALSE	FALSE	NA	NA	NA	NA	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500
