pair_type	root_kind	family	signoff_grade	comparison_eligible	n
algorithm_pair	dynamic	gausmix	FAIL	FALSE	8
algorithm_pair	static_paper	gausmix	FAIL	FALSE	4
algorithm_pair	static_shrink	gausmix	FAIL	FALSE	9
algorithm_pair	dynamic	laplace	FAIL	FALSE	9
algorithm_pair	static_paper	laplace	FAIL	FALSE	3
algorithm_pair	static_shrink	laplace	FAIL	FALSE	6
algorithm_pair	dynamic	normal	FAIL	FALSE	6
algorithm_pair	static_paper	normal	FAIL	FALSE	4
algorithm_pair	static_shrink	normal	FAIL	FALSE	9
algorithm_pair	static_paper	gausmix	PASS	TRUE	2
algorithm_pair	static_shrink	gausmix	PASS	TRUE	7
algorithm_pair	static_paper	laplace	PASS	TRUE	4
algorithm_pair	static_shrink	laplace	PASS	TRUE	6
algorithm_pair	static_paper	normal	PASS	TRUE	5
algorithm_pair	static_shrink	normal	PASS	TRUE	6
algorithm_pair	dynamic	gausmix	WARN	TRUE	4
algorithm_pair	static_paper	gausmix	WARN	TRUE	6
algorithm_pair	static_shrink	gausmix	WARN	TRUE	8
algorithm_pair	dynamic	laplace	WARN	TRUE	3
algorithm_pair	static_paper	laplace	WARN	TRUE	5
algorithm_pair	static_shrink	laplace	WARN	TRUE	12
algorithm_pair	dynamic	normal	WARN	TRUE	6
algorithm_pair	static_paper	normal	WARN	TRUE	3
algorithm_pair	static_shrink	normal	WARN	TRUE	9
model_pair	dynamic	gausmix	FAIL	FALSE	7
model_pair	static_paper	gausmix	FAIL	FALSE	6
model_pair	static_shrink	gausmix	FAIL	FALSE	12
model_pair	dynamic	laplace	FAIL	FALSE	8
model_pair	static_paper	laplace	FAIL	FALSE	4
model_pair	static_shrink	laplace	FAIL	FALSE	9
model_pair	dynamic	normal	FAIL	FALSE	6
model_pair	static_paper	normal	FAIL	FALSE	5
model_pair	static_shrink	normal	FAIL	FALSE	12
model_pair	dynamic	gausmix	WARN	TRUE	5
model_pair	static_paper	gausmix	WARN	TRUE	6
model_pair	static_shrink	gausmix	WARN	TRUE	12
model_pair	dynamic	laplace	WARN	TRUE	4
model_pair	static_paper	laplace	WARN	TRUE	8
model_pair	static_shrink	laplace	WARN	TRUE	15
model_pair	dynamic	normal	WARN	TRUE	6
model_pair	static_paper	normal	WARN	TRUE	7
model_pair	static_shrink	normal	WARN	TRUE	12
