root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action
root__dynamic__gausmix__tau_0p05__lasttt_5000	mcmc	dqlm	dynamic	gausmix	0.05	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	221.523680057942	NA	458.594601728339	0.516360210261209	NA	-0.187183489196825	0.658587007497676	NA	5.11676557494052	0.096975082447501	NA	0.171167250781258	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__gausmix__tau_0p25__lasttt_5000	mcmc	dqlm	dynamic	gausmix	0.25	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	309.453316103604	NA	529.289219747685	0.526993360733459	NA	-0.188168765763426	0.251994810492915	NA	6.36410134761235	0.180068983618828	NA	0.167678867558401	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__gausmix__tau_0p95__lasttt_5000	mcmc	exdqlm	dynamic	gausmix	0.95	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	17.8396855522206	12.7084607025886	611.649149778438	0.963764288989826	0.973472754739117	-0.189747062634265	0.611431719239771	0.0839549199147749	6.77208254339774	0.215009716526437	0.668239146137052	0.162894069611945	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__gausmix__tau_0p95__lasttt_5000	mcmc	dqlm	dynamic	gausmix	0.95	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	336.017685488122	NA	679.710139254973	0.404221529200948	NA	-0.190128859908715	2.61143012080415	NA	5.80970214264369	0.0964182596211189	NA	0.159551859290502	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__laplace__tau_0p05__lasttt_5000	mcmc	dqlm	dynamic	laplace	0.05	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	232.719294151372	NA	433.699532989119	0.556530516228876	NA	-0.186845586451642	0.333089305960704	NA	5.43136347466522	0.0013163718747498	NA	0.173285055380672	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__laplace__tau_0p25__lasttt_5000	mcmc	dqlm	dynamic	laplace	0.25	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	218.075447383865	NA	495.797904439607	0.524351199315524	NA	-0.187796103750144	1.05200820934203	NA	6.8077895997913	0.00504355162154049	NA	0.169947936305259	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__laplace__tau_0p95__lasttt_5000	mcmc	dqlm	dynamic	laplace	0.95	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	349.43272688055	NA	626.27965737378	0.404597506676164	NA	-0.189631575217793	0.671140228991819	NA	6.38453825639538	0.0734791253363482	NA	0.162376568771576	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p95/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__normal__tau_0p05__lasttt_5000	mcmc	dqlm	dynamic	normal	0.05	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	85.7933609795664	NA	257.028683737199	0.630333146350119	NA	-0.18236104829919	3.34438508503593	NA	5.65618277722078	0.310704703188613	NA	0.207383996738974	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
root__dynamic__normal__tau_0p25__lasttt_500	mcmc	dqlm	dynamic	normal	0.25	500	default	geweke_drift	threshold_only_rescue_moderate	1000	374.188503942116	NA	227.516074277669	0.455007414296048	NA	-0.183087666219229	1.8527247838153	NA	7.1929299440922	0.0143446162163399	NA	0.158145503554252	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	mark_comparison_eligible_under_second_wave_policy
root__dynamic__normal__tau_0p25__lasttt_5000	mcmc	dqlm	dynamic	normal	0.25	5000	default	geweke_drift	threshold_only_rescue_moderate	1000	235.269871746159	NA	263.078125260099	0.543890145137917	NA	-0.182832783084154	0.293555122880035	NA	5.911457529238	0.0962517025562164	NA	0.205810443557185	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/normal/tau_0p25/fit_input_lastTT5000/validation_dynamic_tt5000	mark_comparison_eligible_under_second_wave_policy
