key	root_id	inference	model	signoff_reason_before	signoff_reason_after	change_class
root__dynamic__gausmix__tau_0p05__lasttt_500||vb||exdqlm	root__dynamic__gausmix__tau_0p05__lasttt_500	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	ld_unstable; vb_converged_false; core_parameter_tail_unstable	unchanged
root__dynamic__gausmix__tau_0p05__lasttt_500||mcmc||exdqlm	root__dynamic__gausmix__tau_0p05__lasttt_500	mcmc	exdqlm	geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	changed
root__dynamic__gausmix__tau_0p05__lasttt_500||mcmc||dqlm	root__dynamic__gausmix__tau_0p05__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p05__lasttt_5000||vb||exdqlm	root__dynamic__gausmix__tau_0p05__lasttt_5000	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	ld_unstable; vb_converged_false; core_parameter_tail_unstable	unchanged
root__dynamic__gausmix__tau_0p05__lasttt_5000||mcmc||exdqlm	root__dynamic__gausmix__tau_0p05__lasttt_5000	mcmc	exdqlm	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
root__dynamic__gausmix__tau_0p05__lasttt_5000||mcmc||dqlm	root__dynamic__gausmix__tau_0p05__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p25__lasttt_500||mcmc||exdqlm	root__dynamic__gausmix__tau_0p25__lasttt_500	mcmc	exdqlm	low_ess; geweke_drift; half_chain_drift	low_ess; geweke_drift; half_chain_drift	unchanged
root__dynamic__gausmix__tau_0p25__lasttt_500||mcmc||dqlm	root__dynamic__gausmix__tau_0p25__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p25__lasttt_5000||mcmc||exdqlm	root__dynamic__gausmix__tau_0p25__lasttt_5000	mcmc	exdqlm	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
root__dynamic__gausmix__tau_0p25__lasttt_5000||mcmc||dqlm	root__dynamic__gausmix__tau_0p25__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p95__lasttt_500||mcmc||exdqlm	root__dynamic__gausmix__tau_0p95__lasttt_500	mcmc	exdqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p95__lasttt_500||mcmc||dqlm	root__dynamic__gausmix__tau_0p95__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p95__lasttt_5000||mcmc||exdqlm	root__dynamic__gausmix__tau_0p95__lasttt_5000	mcmc	exdqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__gausmix__tau_0p95__lasttt_5000||mcmc||dqlm	root__dynamic__gausmix__tau_0p95__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p05__lasttt_500||vb||exdqlm	root__dynamic__laplace__tau_0p05__lasttt_500	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	ld_unstable; vb_converged_false; core_parameter_tail_unstable	unchanged
root__dynamic__laplace__tau_0p05__lasttt_500||mcmc||exdqlm	root__dynamic__laplace__tau_0p05__lasttt_500	mcmc	exdqlm	low_ess; high_autocorrelation; geweke_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	changed
root__dynamic__laplace__tau_0p05__lasttt_500||mcmc||dqlm	root__dynamic__laplace__tau_0p05__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p05__lasttt_5000||vb||exdqlm	root__dynamic__laplace__tau_0p05__lasttt_5000	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	ld_unstable; vb_converged_false; core_parameter_tail_unstable	unchanged
root__dynamic__laplace__tau_0p05__lasttt_5000||mcmc||exdqlm	root__dynamic__laplace__tau_0p05__lasttt_5000	mcmc	exdqlm	low_ess; high_autocorrelation; geweke_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	changed
root__dynamic__laplace__tau_0p05__lasttt_5000||mcmc||dqlm	root__dynamic__laplace__tau_0p05__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p25__lasttt_500||mcmc||exdqlm	root__dynamic__laplace__tau_0p25__lasttt_500	mcmc	exdqlm	low_ess; geweke_drift	low_ess; geweke_drift	unchanged
root__dynamic__laplace__tau_0p25__lasttt_500||mcmc||dqlm	root__dynamic__laplace__tau_0p25__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p25__lasttt_5000||mcmc||exdqlm	root__dynamic__laplace__tau_0p25__lasttt_5000	mcmc	exdqlm	low_ess; geweke_drift; half_chain_drift	low_ess; geweke_drift; half_chain_drift	unchanged
root__dynamic__laplace__tau_0p25__lasttt_5000||mcmc||dqlm	root__dynamic__laplace__tau_0p25__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p95__lasttt_500||mcmc||exdqlm	root__dynamic__laplace__tau_0p95__lasttt_500	mcmc	exdqlm	geweke_drift; half_chain_drift	geweke_drift; half_chain_drift	unchanged
root__dynamic__laplace__tau_0p95__lasttt_500||mcmc||dqlm	root__dynamic__laplace__tau_0p95__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__laplace__tau_0p95__lasttt_5000||mcmc||exdqlm	root__dynamic__laplace__tau_0p95__lasttt_5000	mcmc	exdqlm	geweke_drift; half_chain_drift	geweke_drift; half_chain_drift	unchanged
root__dynamic__laplace__tau_0p95__lasttt_5000||mcmc||dqlm	root__dynamic__laplace__tau_0p95__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__normal__tau_0p05__lasttt_500||vb||exdqlm	root__dynamic__normal__tau_0p05__lasttt_500	vb	exdqlm	ld_unstable; vb_converged_false; core_parameter_tail_unstable	ld_unstable; vb_converged_false; core_parameter_tail_unstable	unchanged
root__dynamic__normal__tau_0p05__lasttt_500||mcmc||exdqlm	root__dynamic__normal__tau_0p05__lasttt_500	mcmc	exdqlm	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	unchanged
root__dynamic__normal__tau_0p05__lasttt_500||mcmc||dqlm	root__dynamic__normal__tau_0p05__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__normal__tau_0p05__lasttt_5000||mcmc||exdqlm	root__dynamic__normal__tau_0p05__lasttt_5000	mcmc	exdqlm	low_ess; geweke_drift; half_chain_drift	low_ess; geweke_drift; half_chain_drift	unchanged
root__dynamic__normal__tau_0p05__lasttt_5000||mcmc||dqlm	root__dynamic__normal__tau_0p05__lasttt_5000	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
root__dynamic__normal__tau_0p25__lasttt_500||mcmc||exdqlm	root__dynamic__normal__tau_0p25__lasttt_500	mcmc	exdqlm	low_ess; geweke_drift; half_chain_drift	low_ess; geweke_drift; half_chain_drift	unchanged
root__dynamic__normal__tau_0p25__lasttt_500||mcmc||dqlm	root__dynamic__normal__tau_0p25__lasttt_500	mcmc	dqlm	geweke_drift	geweke_drift	unchanged
