root_id	root_kind	family	tau	fit_size	prior	inference	model	failure_bucket	signoff_reason	action_class
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	vb	exdqlm	soft_only	ld_unstable; vb_converged_false; core_parameter_tail_unstable	needs_model_or_vb_debug
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p05__lasttt_500	dynamic	gausmix	0.05	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	vb	exdqlm	soft_only	ld_unstable; vb_converged_false; core_parameter_tail_unstable	needs_model_or_vb_debug
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__gausmix__tau_0p05__lasttt_5000	dynamic	gausmix	0.05	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p25__lasttt_500	dynamic	gausmix	0.25	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__gausmix__tau_0p25__lasttt_5000	dynamic	gausmix	0.25	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	exdqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p95__lasttt_500	dynamic	gausmix	0.95	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	exdqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__gausmix__tau_0p95__lasttt_5000	dynamic	gausmix	0.95	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	vb	exdqlm	soft_only	ld_unstable; vb_converged_false; core_parameter_tail_unstable	needs_model_or_vb_debug
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_500	dynamic	laplace	0.05	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	vb	exdqlm	soft_only	ld_unstable; vb_converged_false; core_parameter_tail_unstable	needs_model_or_vb_debug
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p05__lasttt_5000	dynamic	laplace	0.05	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p25__lasttt_500	dynamic	laplace	0.25	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__laplace__tau_0p25__lasttt_5000	dynamic	laplace	0.25	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	exdqlm	soft_only	geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p95__lasttt_500	dynamic	laplace	0.95	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	mcmc	exdqlm	soft_only	geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__laplace__tau_0p95__lasttt_5000	dynamic	laplace	0.95	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	vb	exdqlm	soft_only	ld_unstable; vb_converged_false; core_parameter_tail_unstable	needs_model_or_vb_debug
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	exdqlm	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__normal__tau_0p05__lasttt_500	dynamic	normal	0.05	500	default	mcmc	dqlm	soft_only	geweke_drift	needs_deeper_chain
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p05__lasttt_5000	dynamic	normal	0.05	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain
root__dynamic__normal__tau_0p25__lasttt_500	dynamic	normal	0.25	500	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	mcmc	exdqlm	soft_only	low_ess; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p25__lasttt_5000	dynamic	normal	0.25	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	mcmc	exdqlm	soft_only	geweke_drift; half_chain_drift	aggressive_policy_only_rescue
root__dynamic__normal__tau_0p95__lasttt_500	dynamic	normal	0.95	500	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	mcmc	exdqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__dynamic__normal__tau_0p95__lasttt_5000	dynamic	normal	0.95	5000	default	mcmc	dqlm	soft_only	geweke_drift	threshold_only_rescue_moderate
root__static_paper__gausmix__tau_0p05__tt_1000	static_paper	gausmix	0.05	1000	paper	mcmc	exal	soft_only	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	aggressive_policy_only_rescue
