root_id	inference	model	root_kind	family	tau	fit_size	prior	signoff_reason	action_class	mcmc_n_keep	mcmc_ess_sigma	mcmc_ess_gamma	mcmc_ess_state	mcmc_acf1_sigma	mcmc_acf1_gamma	mcmc_acf1_state	mcmc_geweke_absz_sigma	mcmc_geweke_absz_gamma	mcmc_geweke_absz_state	mcmc_half_drift_sigma	mcmc_half_drift_gamma	mcmc_half_drift_state	vb_elbo_tail_rel_range	vb_sigma_tail_rel_range	vb_gamma_tail_rel_range	vb_delta_state_last	vb_delta_sigma_last	vb_delta_gamma_last	run_root	recommended_action	recommended_burn	recommended_keep	recommended_trace_every
root__dynamic__gausmix__tau_0p05__lasttt_500	mcmc	exdqlm	dynamic	gausmix	0.05	500	default	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	5000	4.87647057489786	1.92799844173275	49.7160065033986	0.991603848585555	0.999228943700267	-0.161397193417865	11.5835167000555	6.80384347529935	13.5958800108424	1.57134655750429	1.62943438659177	0.319562671485106	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__gausmix__tau_0p05__lasttt_500	mcmc	dqlm	dynamic	gausmix	0.05	500	default	geweke_drift	needs_deeper_chain	1000	215.002201645498	NA	66.7172677685547	0.512442183032894	NA	-0.167873726382098	0.723694393206977	NA	16.2246837156225	0.071172311759894	NA	0.275156154214651	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__gausmix__tau_0p25__lasttt_500	mcmc	exdqlm	dynamic	gausmix	0.25	500	default	low_ess; geweke_drift; half_chain_drift	needs_deeper_chain	1000	5.96384795889919	3.03581565316903	97.2532386438584	0.988131207085013	0.993940698249645	-0.173722956900514	8.9147555255475	3.61549035322421	15.436633690226	1.67238183893833	1.61406812192139	0.222874257920625	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__gausmix__tau_0p25__lasttt_500	mcmc	dqlm	dynamic	gausmix	0.25	500	default	geweke_drift	needs_deeper_chain	1000	361.443897557471	NA	125.604526255863	0.468637899507062	NA	-0.176967018661278	2.58875593448397	NA	13.5137579871158	0.00818768942738824	NA	0.188589228578697	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__gausmix__tau_0p95__lasttt_500	mcmc	exdqlm	dynamic	gausmix	0.95	500	default	geweke_drift	needs_deeper_chain	1000	23.5337801740899	24.6026185082585	60.5277272530641	0.963554197906906	0.961682655389759	-0.163333314743501	0.668898756311839	2.96702966424076	12.0327581307707	0.0566418130100374	0.631771440871039	0.297603899165237	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__gausmix__tau_0p95__lasttt_500	mcmc	dqlm	dynamic	gausmix	0.95	500	default	geweke_drift	needs_deeper_chain	1000	282.508834005503	NA	102.012056248933	0.489608482226472	NA	-0.175222945588574	0.444885909435864	NA	12.1023725379482	0.0103820775491882	NA	0.213814406492239	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p95/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p05__lasttt_500	mcmc	exdqlm	dynamic	laplace	0.05	500	default	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	5000	4.28085943672407	1.53385632929817	56.7685159209001	0.991402392933014	0.999337528075968	-0.164393213428442	4.17052477425858	2.08721288609705	14.820955011071	1.44628449704268	1.41754099022605	0.299992266072631	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p05__lasttt_500	mcmc	dqlm	dynamic	laplace	0.05	500	default	geweke_drift	needs_deeper_chain	1000	297.488560897432	NA	66.873469456462	0.476481835668284	NA	-0.167818030226926	0.689346471134225	NA	16.1575389177884	0.117555590504371	NA	0.275482472739279	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p05__lasttt_5000	mcmc	exdqlm	dynamic	laplace	0.05	5000	default	low_ess; high_autocorrelation; geweke_drift; half_chain_drift	needs_deeper_chain	5000	2.03616896990193	2.93744795284726	424.472809100657	0.999185701129705	0.998758971432335	-0.186686490044929	5.17146888310968	7.03769875568223	5.24431609731716	1.71699810876794	1.72403133378809	0.173799929015581	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000	rerun_with_deeper_mcmc	3000	8000	25
root__dynamic__laplace__tau_0p25__lasttt_500	mcmc	exdqlm	dynamic	laplace	0.25	500	default	low_ess; geweke_drift	needs_deeper_chain	1000	14.9184015076343	4.63071361009496	90.5851198787219	0.970572747838867	0.990772067522679	-0.172423898768534	0.325873694979445	0.276919514540097	15.4481962105326	0.154961332895137	0.171157235068164	0.234528394442871	NA	NA	NA	NA	NA	NA	results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/laplace/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500	rerun_with_deeper_mcmc	3000	8000	25
