"case_key","scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","model","method_id","selected_pool","selected_pool_group","selected_candidate","selected_variant_tag","selected_source_subtype","gate_overall","healthy","runtime_sec","diagnostic_source_type","signoff_reason","selection_reason","selected_fit_path_rel","selected_health_path_rel","selected_summary_path_rel"
"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","mcmc","dqlm","mcmc__dqlm","dynamic_archive_rescore_20260405","promoted","archive_existing","rhsns_full_relaunch_20260327","archive_rescore_existing","PASS",TRUE,449.166,"candidate_health_csv","","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0004.csv",""
"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","mcmc","exdqlm","mcmc__exdqlm","dynamic_tail7_rw_20260406","promoted","mcmc_exdqlm_rw_refresh_tt500","orig288_dyn_tail7_rw_refresh4_20260406","tt500_rw_refresh4","WARN",TRUE,936.98,"candidate_health_csv","","Promote dynamic tail7-rw candidate orig288_dyn_tail7_rw_refresh4_20260406 from phase tt500_rw_refresh4 after improving original baseline from FAIL to WARN.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_refresh4_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0008.csv",""
"dynamic::gausmix::0p05::500::default::dqlm::vb","dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","vb","dqlm","vb__dqlm","baseline_original","baseline","baseline","baseline","baseline_original","PASS",TRUE,,"method_signoff_long","vb_converged; stable_tail","Baseline original fit already healthy and no promoted candidate was required.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p05_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv",""
"dynamic::gausmix::0p05::500::default::exdqlm::vb","dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","vb","exdqlm","vb__exdqlm","syncedbase_faithful_replay_20260407","promoted","row_0002","orig288_sync0p4p0_faithful_20260407","phase1_vb_all","PASS",TRUE,631.985,"candidate_health_csv","","Promote synced-base faithful replay row row_0002 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base.","results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv"
"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","mcmc","dqlm","mcmc__dqlm","hybrid_291_selection","promoted","dynamic_tail_cppgig_refresh_20260331","dynamic_tail_cppgig_refresh_20260331","dynamic_historical_reusable","PASS",TRUE,6321.724,"candidate_health_csv","","Promoted `dynamic_tail_cppgig_refresh_20260331` because it improved the original baseline gate from `WARN` to `PASS`.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_dynamic_tail_refresh_20260329.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_dynamic_tail_cppgig_refresh_20260331/health/health_0005.csv",""
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","baseline","baseline_original","FAIL",FALSE,,"method_signoff_long","low_ess; geweke_drift; half_chain_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv",""
"dynamic::gausmix::0p05::5000::default::dqlm::vb","dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","vb","dqlm","vb__dqlm","syncedbase_faithful_replay_20260407","promoted","row_0003","orig288_sync0p4p0_faithful_20260407","phase1_vb_all","PASS",TRUE,363.593,"candidate_health_csv","","Promote synced-base faithful replay row row_0003 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base.","results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv"
"dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","vb","exdqlm","vb__exdqlm","dynamic_archive_rescore_20260405","promoted","archive_existing","rhsns_full_relaunch_20260327","archive_rescore_existing","WARN",TRUE,1440.065,"candidate_health_csv","","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to WARN.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0007.csv",""
"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","mcmc","dqlm","mcmc__dqlm","dynamic_archive_rescore_20260405","promoted","archive_existing","rhsns_full_relaunch_20260327","archive_rescore_existing","PASS",TRUE,903.497,"candidate_health_csv","","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p25_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0008.csv",""
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","mcmc","exdqlm","mcmc__exdqlm","baseline_original","baseline","baseline","baseline","baseline_original","FAIL",FALSE,,"method_signoff_long","high_autocorrelation; geweke_drift","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available.","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p25_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv",""
