"check_name","pass","detail"
"comparison_long_rows_288",TRUE,"rows=288"
"comparison_long_unique_case_keys",TRUE,"duplicate_case_keys=0"
"comparison_long_fail_rows_6",TRUE,"fail_rows=6"
"comparison_long_warn_rows_52",TRUE,"warn_rows=52"
"comparison_long_source_gates_match_when_available",TRUE,"mismatches=0"
"scenario_rows_total_72",TRUE,"rows=72"
"static_scenario_rows_54",TRUE,"rows=54"
"dynamic_scenario_rows_18",TRUE,"rows=18"
"static_model_pair_rows_108",TRUE,"rows=108"
"static_inference_pair_rows_108",TRUE,"rows=108"
"dynamic_model_pair_rows_36",TRUE,"rows=36"
"dynamic_inference_pair_rows_36",TRUE,"rows=36"
"warn_inventory_rows_52",TRUE,"rows=52"
"fail_inventory_rows_6",TRUE,"rows=6"
"health_summary_matches_v7",TRUE,"comparison_rows=4; summary_rows=4"
"health_breakdown_matches_v7",TRUE,"comparison_rows=12; breakdown_rows=12"
"fail_inventory_matches_unresolved_dynamic_v7",TRUE,"match=TRUE; fail_rows=6; unresolved_rows=6"
