"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","inference","gate_overall.dqlm","healthy.dqlm","gate_rank_num.dqlm","runtime_sec.dqlm","selected_pool.dqlm","selected_candidate.dqlm","gate_overall.exdqlm","healthy.exdqlm","gate_rank_num.exdqlm","runtime_sec.exdqlm","selected_pool.exdqlm","selected_candidate.exdqlm","gate_delta_exdqlm_minus_dqlm","gate_comparison","runtime_ratio_exdqlm_over_dqlm","faster_method"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","mcmc","PASS",TRUE,1,449.166,"dynamic_archive_rescore_20260405","archive_existing","WARN",TRUE,2,936.98,"dynamic_tail7_rw_20260406","mcmc_exdqlm_rw_refresh_tt500",-1,"dqlm_better",2.086044,"dqlm"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,631.985,"syncedbase_faithful_replay_20260407","row_0002",0,"tie",,
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","mcmc","PASS",TRUE,1,6321.724,"hybrid_291_selection","dynamic_tail_cppgig_refresh_20260331","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","vb","PASS",TRUE,1,363.593,"syncedbase_faithful_replay_20260407","row_0003","WARN",TRUE,2,1440.065,"dynamic_archive_rescore_20260405","archive_existing",-1,"dqlm_better",3.960651,"dqlm"
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","mcmc","PASS",TRUE,1,903.497,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,3,,"baseline_original","baseline",-2,"dqlm_better",,
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,135.082,"syncedbase_faithful_replay_20260407","row_0006",0,"tie",,
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","mcmc","PASS",TRUE,1,9779.123,"dynamic_summary_csv","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","WARN",TRUE,2,5809.576,"hybrid_291_selection","row15_slice_exact_20260405",-1,"dqlm_better",0.594079,"exdqlm"
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,552.729,"syncedbase_faithful_replay_20260407","row_0008",0,"tie",,
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","mcmc","PASS",TRUE,1,901.878,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,1,475.721,"dynamic_tail8_20260405","mcmc_exdqlm_slice_sync",0,"tie",0.527478,"exdqlm"
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","vb","PASS",TRUE,1,,"baseline_original","baseline","PASS",TRUE,1,168.768,"syncedbase_faithful_replay_20260407","row_0010",0,"tie",,
