"scenario_key","scope_label","block","root_kind","family","tau_label","fit_size","prior_semantics","gate_overall.mcmc__dqlm","healthy.mcmc__dqlm","runtime_sec.mcmc__dqlm","selected_pool.mcmc__dqlm","selected_candidate.mcmc__dqlm","gate_overall.mcmc__exdqlm","healthy.mcmc__exdqlm","runtime_sec.mcmc__exdqlm","selected_pool.mcmc__exdqlm","selected_candidate.mcmc__exdqlm","gate_overall.vb__dqlm","healthy.vb__dqlm","runtime_sec.vb__dqlm","selected_pool.vb__dqlm","selected_candidate.vb__dqlm","gate_overall.vb__exdqlm","healthy.vb__exdqlm","runtime_sec.vb__exdqlm","selected_pool.vb__exdqlm","selected_candidate.vb__exdqlm"
"dynamic::gausmix::0p05::500::default","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic","dynamic","gausmix","0p05",500,"default","PASS",TRUE,449.166,"dynamic_archive_rescore_20260405","archive_existing","WARN",TRUE,936.98,"dynamic_tail7_rw_20260406","mcmc_exdqlm_rw_refresh_tt500","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,631.985,"syncedbase_faithful_replay_20260407","row_0002"
"dynamic::gausmix::0p05::5000::default","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic","dynamic","gausmix","0p05",5000,"default","PASS",TRUE,6321.724,"hybrid_291_selection","dynamic_tail_cppgig_refresh_20260331","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,363.593,"syncedbase_faithful_replay_20260407","row_0003","WARN",TRUE,1440.065,"dynamic_archive_rescore_20260405","archive_existing"
"dynamic::gausmix::0p25::500::default","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic","dynamic","gausmix","0p25",500,"default","PASS",TRUE,903.497,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,135.082,"syncedbase_faithful_replay_20260407","row_0006"
"dynamic::gausmix::0p25::5000::default","root__dynamic__gausmix__tau_0p25__lasttt_5000","dynamic","dynamic","gausmix","0p25",5000,"default","PASS",TRUE,9779.123,"dynamic_summary_csv","adaptive_pilot_20260326_050105_23608_2627313_q02_P3_dqlm_tau0p25_tt5000_s2026032823","WARN",TRUE,5809.576,"hybrid_291_selection","row15_slice_exact_20260405","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,552.729,"syncedbase_faithful_replay_20260407","row_0008"
"dynamic::gausmix::0p95::500::default","root__dynamic__gausmix__tau_0p95__lasttt_500","dynamic","dynamic","gausmix","0p95",500,"default","PASS",TRUE,901.878,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,475.721,"dynamic_tail8_20260405","mcmc_exdqlm_slice_sync","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,168.768,"syncedbase_faithful_replay_20260407","row_0010"
"dynamic::gausmix::0p95::5000::default","root__dynamic__gausmix__tau_0p95__lasttt_5000","dynamic","dynamic","gausmix","0p95",5000,"default","PASS",TRUE,19384.026,"dynamic_summary_csv","tierA_sync_20260322_Q03_dqlm_tau0p95_tt5000_gausmix","PASS",TRUE,1945.455,"syncedbase_faithful_replay_20260407","row_0262","PASS",TRUE,428.993,"syncedbase_faithful_replay_20260407","row_0011","PASS",TRUE,974.438,"syncedbase_faithful_replay_20260407","row_0012"
"dynamic::laplace::0p05::500::default","root__dynamic__laplace__tau_0p05__lasttt_500","dynamic","dynamic","laplace","0p05",500,"default","PASS",TRUE,444.656,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,645.386,"syncedbase_faithful_replay_20260407","row_0014"
"dynamic::laplace::0p05::5000::default","root__dynamic__laplace__tau_0p05__lasttt_5000","dynamic","dynamic","laplace","0p05",5000,"default","PASS",TRUE,1785.524,"syncedbase_faithful_replay_20260407","row_0264","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,361.245,"syncedbase_faithful_replay_20260407","row_0015","WARN",TRUE,1493.772,"dynamic_archive_rescore_20260405","archive_existing"
"dynamic::laplace::0p25::500::default","root__dynamic__laplace__tau_0p25__lasttt_500","dynamic","dynamic","laplace","0p25",500,"default","PASS",TRUE,907.663,"dynamic_archive_rescore_20260405","archive_existing","WARN",TRUE,741.185,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,134.307,"syncedbase_faithful_replay_20260407","row_0018"
"dynamic::laplace::0p25::5000::default","root__dynamic__laplace__tau_0p25__lasttt_5000","dynamic","dynamic","laplace","0p25",5000,"default","PASS",TRUE,1807.255,"syncedbase_faithful_replay_20260407","row_0267","WARN",TRUE,18538.16,"dynamic_summary_csv","slice_wave2_20260319_laplace_indep1","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,500.023,"syncedbase_faithful_replay_20260407","row_0020"
"dynamic::laplace::0p95::500::default","root__dynamic__laplace__tau_0p95__lasttt_500","dynamic","dynamic","laplace","0p95",500,"default","PASS",TRUE,844.627,"dynamic_archive_rescore_20260405","archive_existing","PASS",TRUE,191.49,"syncedbase_faithful_replay_20260407","row_0270","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,169.155,"syncedbase_faithful_replay_20260407","row_0022"
"dynamic::laplace::0p95::5000::default","root__dynamic__laplace__tau_0p95__lasttt_5000","dynamic","dynamic","laplace","0p95",5000,"default","PASS",TRUE,895.076,"syncedbase_faithful_replay_20260407","row_0271","PASS",TRUE,19448.623,"dynamic_summary_csv","tierA_sync_20260322_Q04_exdqlm_tau0p95_tt5000_laplace","PASS",TRUE,435.018,"syncedbase_faithful_replay_20260407","row_0023","PASS",TRUE,962.852,"syncedbase_faithful_replay_20260407","row_0024"
"dynamic::normal::0p05::500::default","root__dynamic__normal__tau_0p05__lasttt_500","dynamic","dynamic","normal","0p05",500,"default","PASS",TRUE,448.683,"dynamic_archive_rescore_20260405","archive_existing","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,401.386,"syncedbase_faithful_replay_20260407","row_0026"
"dynamic::normal::0p05::5000::default","root__dynamic__normal__tau_0p05__lasttt_5000","dynamic","dynamic","normal","0p05",5000,"default","PASS",TRUE,18534.76,"dynamic_summary_csv","tierA_sync_20260322_Q01_dqlm_tau0p05_tt5000_normal","FAIL",FALSE,,"baseline_original","baseline","PASS",TRUE,388.781,"syncedbase_faithful_replay_20260407","row_0027","WARN",TRUE,,"baseline_original","baseline"
"dynamic::normal::0p25::500::default","root__dynamic__normal__tau_0p25__lasttt_500","dynamic","dynamic","normal","0p25",500,"default","PASS",TRUE,176.544,"hybrid_291_selection","row57_cppgig_same_seed_20260330","WARN",TRUE,742.807,"dynamic_summary_csv","slice_wave1_20260319","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,100.42,"syncedbase_faithful_replay_20260407","row_0030"
"dynamic::normal::0p25::5000::default","root__dynamic__normal__tau_0p25__lasttt_5000","dynamic","dynamic","normal","0p25",5000,"default","PASS",TRUE,1745.188,"syncedbase_faithful_replay_20260407","row_0277","WARN",TRUE,16500.059,"dynamic_summary_csv","slice_wave2_20260319","PASS",TRUE,,"baseline_original","baseline","PASS",TRUE,507.891,"syncedbase_faithful_replay_20260407","row_0032"
"dynamic::normal::0p95::500::default","root__dynamic__normal__tau_0p95__lasttt_500","dynamic","dynamic","normal","0p95",500,"default","WARN",TRUE,,"baseline_original","baseline","PASS",TRUE,1645.373,"dynamic_summary_csv","tierA_sync_20260322_Q05_exdqlm_tau0p95_tt500_normal","PASS",TRUE,36.012,"syncedbase_faithful_replay_20260407","row_0033","PASS",TRUE,152.831,"syncedbase_faithful_replay_20260407","row_0034"
"dynamic::normal::0p95::5000::default","root__dynamic__normal__tau_0p95__lasttt_5000","dynamic","dynamic","normal","0p95",5000,"default","PASS",TRUE,1753.689,"syncedbase_faithful_replay_20260407","row_0281","PASS",TRUE,19134.688,"dynamic_summary_csv","tierA_sync_20260322_Q06_exdqlm_tau0p95_tt5000_normal","PASS",TRUE,394.194,"syncedbase_faithful_replay_20260407","row_0035","PASS",TRUE,886.794,"syncedbase_faithful_replay_20260407","row_0036"
