"row_id","base_row_id","original_case_key","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","seed_slot","seed","candidate_label","candidate_source_type","candidate_source_subtype","source_rank","reference_gate","accepted_baseline_gate","run_root","run_config_path","sim_output_path","baseline_fit_path","source_reference_fit_path","vb_reference_fit_path","source_run_root","source_run_config_path","selected_variant_tag_source","candidate_fit_path","row_status_path","health_path","metrics_path","draws_path","missing_inputs","historical_source_kind","phase1_registry_source","hist_mh_proposal","hist_mh_adapt","hist_laplace_refresh_interval","hist_laplace_refresh_start","hist_laplace_refresh_weight","hist_slice_width","hist_slice_max_steps","hist_n_burn","hist_n_mcmc","hist_trace_every","hist_progress_every","hist_init_from_vb_requested","hist_init_from_vb","hist_vb_path","hist_baseline_fit_path"
1,5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","mcmc",1,205153,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0001_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0255_run_config.rds","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed01.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0001.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0001.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0001.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0001.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","mcmc",2,205254,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0002_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0255_run_config.rds","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed02.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0002.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0002.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0002.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0002.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","mcmc",3,206162,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0003_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0255_run_config.rds","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed03.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0003.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0003.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0003.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0003.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","mcmc",4,215160,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0004_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0255_run_config.rds","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed04.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0004.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0004.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0004.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0004.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","vb",1,195437,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0005_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0003_run_config.rds","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed01.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0005.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0005.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0005.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0005.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","vb",2,195538,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0006_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0003_run_config.rds","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed02.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0006.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0006.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0006.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0006.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","vb",3,196446,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0007_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0003_run_config.rds","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed03.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0007.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0007.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0007.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0007.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","dqlm","vb",4,205444,"exact_accepted_source","accepted_selected_fit_exact_source","faithful_replay_20260407",0,"FAIL","PASS","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0008_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/configs/row_0003_run_config.rds","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed04.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0008.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0008.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0008.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0008.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","exdqlm","mcmc",1,202604060,"exact_accepted_source","accepted_selected_fit_exact_source","syncedbase_rerun_20260406",0,"FAIL","FAIL","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0009_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_rerun_20260406/configs/row_0256_run_config.rds","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed01.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0009.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0009.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0009.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0009.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","phase1_dynamic_tt5000_exact_replay",1,"dynamic","dynamic","gausmix","0p05","0p05",5000,"default","exdqlm","mcmc",2,202604161,"exact_accepted_source","accepted_selected_fit_exact_source","syncedbase_rerun_20260406",0,"FAIL","FAIL","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/configs/row_0010_run_config.rds","/home/jaguir26/local/src/exdqlm__wt__qdesn_0p4p0_integration/results/qdesn_mcmc_validation/dynamic_exdqlm_crossstudy_effective_w300_postdraw_deepdesn_sources/dlm_constV_smallW/gausmix/tau_0p05/fit_input_effTT5000_totalTT5313/sim_output.rds",NA,NA,NA,"/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_rerun_20260406/configs/row_0256_run_config.rds","baseline","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dynamic_tt5000_exactspec_repair_20260414_exact_accepted_source_seed02.rds","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/rows/row_0010.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/health/health_0010.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/metrics/metrics_0010.csv","tools/merge_reports/full288_original288_dynamic_tt5000_exactspec_repair_20260414/draws/draws_0010.rds",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
