"base_row_id","original_case_key","block","family","tau_label","fit_size","prior_semantics","model","inference","selected_fit_exists","source_run_root_exists","series_wide_exists","selection_indices_exists","true_quantile_grid_exists","coef_truth_exists","materialized_sim_exists","data_ready","baseline_seed"
1,"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic","gausmix","0p05",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201874
2,"dynamic::gausmix::0p05::500::default::dqlm::vb","dynamic","gausmix","0p05",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,192358
3,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,212537
4,"dynamic::gausmix::0p05::500::default::exdqlm::vb","dynamic","gausmix","0p05",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202621
5,"dynamic::gausmix::0p05::5000::default::dqlm::mcmc","dynamic","gausmix","0p05",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205153
6,"dynamic::gausmix::0p05::5000::default::dqlm::vb","dynamic","gausmix","0p05",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,195437
7,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,216037
8,"dynamic::gausmix::0p05::5000::default::exdqlm::vb","dynamic","gausmix","0p05",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205921
9,"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic","gausmix","0p25",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,201916
10,"dynamic::gausmix::0p25::500::default::dqlm::vb","dynamic","gausmix","0p25",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,192400
11,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc",TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202604060
12,"dynamic::gausmix::0p25::500::default::exdqlm::vb","dynamic","gausmix","0p25",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202663
13,"dynamic::gausmix::0p25::5000::default::dqlm::mcmc","dynamic","gausmix","0p25",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205195
14,"dynamic::gausmix::0p25::5000::default::dqlm::vb","dynamic","gausmix","0p25",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,195479
15,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","dynamic","gausmix","0p25",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,216079
16,"dynamic::gausmix::0p25::5000::default::exdqlm::vb","dynamic","gausmix","0p25",5000,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205963
17,"dynamic::gausmix::0p95::500::default::dqlm::mcmc","dynamic","gausmix","0p95",500,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202063
18,"dynamic::gausmix::0p95::500::default::dqlm::vb","dynamic","gausmix","0p95",500,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,192547
19,"dynamic::gausmix::0p95::500::default::exdqlm::mcmc","dynamic","gausmix","0p95",500,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,212726
20,"dynamic::gausmix::0p95::500::default::exdqlm::vb","dynamic","gausmix","0p95",500,"default","exdqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,202810
21,"dynamic::gausmix::0p95::5000::default::dqlm::mcmc","dynamic","gausmix","0p95",5000,"default","dqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,205342
22,"dynamic::gausmix::0p95::5000::default::dqlm::vb","dynamic","gausmix","0p95",5000,"default","dqlm","vb",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,195626
23,"dynamic::gausmix::0p95::5000::default::exdqlm::mcmc","dynamic","gausmix","0p95",5000,"default","exdqlm","mcmc",FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,216226
