"block","root_kind","family","tau","fit_size","prior_semantics","model","inference","method","root_id","original_scenario_key","original_case_key","baseline_gate_overall","baseline_healthy","selected_source_type","selected_source_subtype","selected_candidate","selected_variant_tag","selected_fit_path","selected_health_path","selected_summary_path","source_path","gate_overall","healthy","runtime_sec","improved_over_baseline","selection_mode","selection_reason"
"dynamic","dynamic","gausmix","0p05",500,"default","dqlm","mcmc","mcmc::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::dqlm::mcmc","FAIL",FALSE,"dynamic_archive_rescore_20260405","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0004.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0004.csv","PASS",TRUE,449.166,TRUE,"promoted_dynamic_residual","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS."
"dynamic","dynamic","gausmix","0p05",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::dqlm::vb","PASS",TRUE,"baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p05_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","PASS",TRUE,,FALSE,"baseline_kept","Baseline original fit already healthy and no promoted candidate was required."
"dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","mcmc","mcmc::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::exdqlm::mcmc","FAIL",FALSE,"dynamic_tail7_rw_20260406","tt500_rw_refresh4","mcmc_exdqlm_rw_refresh_tt500","orig288_dyn_tail7_rw_refresh4_20260406","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_exdqlm_tau_0p05_fit_orig288_dyn_tail7_rw_refresh4_20260406.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0008.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_tail7_rw_20260406/health/health_0008.csv","WARN",TRUE,936.98,TRUE,"promoted_dynamic_tail7_rw","Promote dynamic tail7-rw candidate orig288_dyn_tail7_rw_refresh4_20260406 from phase tt500_rw_refresh4 after improving original baseline from FAIL to WARN."
"dynamic","dynamic","gausmix","0p05",500,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_500","dynamic::gausmix::0p05::500::default","dynamic::gausmix::0p05::500::default::exdqlm::vb","WARN",TRUE,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0002","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_exdqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0002.csv","PASS",TRUE,631.985,TRUE,"promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0002 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
"dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","mcmc","mcmc::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::dqlm::mcmc","WARN",TRUE,"hybrid_291_selection","dynamic_historical_reusable","dynamic_tail_cppgig_refresh_20260331","dynamic_tail_cppgig_refresh_20260331","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_dqlm_tau_0p05_fit_dynamic_tail_refresh_20260329.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_dynamic_tail_cppgig_refresh_20260331/health/health_0005.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_dynamic_tail_cppgig_refresh_20260331/rows/row_0005.csv","PASS",TRUE,6321.724,TRUE,"promoted_over_healthy_baseline","Promoted `dynamic_tail_cppgig_refresh_20260331` because it improved the original baseline gate from `WARN` to `PASS`."
"dynamic","dynamic","gausmix","0p05",5000,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::dqlm::vb","WARN",TRUE,"syncedbase_faithful_replay_20260407","phase1_vb_all","row_0003","orig288_sync0p4p0_faithful_20260407","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_dqlm_tau_0p05_fit_orig288_sync0p4p0_faithful_20260407.rds","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","/home/jaguir26/local/src/exdqlm__wt__validation_rerun_after_0p4p0_integration/tools/merge_reports/full288_original288_syncedbase_faithful_replay_20260407/health/health_0003.csv","PASS",TRUE,363.593,TRUE,"promoted_syncedbase_faithful_replay","Promote synced-base faithful replay row row_0003 after improving accepted carry-forward from WARN to PASS on the updated 0.4.0 base."
"dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","mcmc::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","FAIL",FALSE,"baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/mcmc/mcmc_exdqlm_tau_0p05_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/tables/method_signoff_long.csv","FAIL",FALSE,,FALSE,"unresolved_baseline_fail","Baseline original fit remains FAIL and no promoted candidate with explicit non-FAIL evidence was available."
"dynamic","dynamic","gausmix","0p05",5000,"default","exdqlm","vb","vb::exdqlm","root__dynamic__gausmix__tau_0p05__lasttt_5000","dynamic::gausmix::0p05::5000::default","dynamic::gausmix::0p05::5000::default::exdqlm::vb","FAIL",FALSE,"dynamic_archive_rescore_20260405","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p05/fit_input_lastTT5000/validation_dynamic_tt5000/fits/vb/vb_exdqlm_tau_0p05_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0007.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0007.csv","WARN",TRUE,1440.065,TRUE,"promoted_dynamic_residual","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to WARN."
"dynamic","dynamic","gausmix","0p25",500,"default","dqlm","mcmc","mcmc::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::dqlm::mcmc","FAIL",FALSE,"dynamic_archive_rescore_20260405","archive_rescore_existing","archive_existing","rhsns_full_relaunch_20260327","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/mcmc/mcmc_dqlm_tau_0p25_fit_rhsns_full_relaunch_20260327.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0008.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/tools/merge_reports/full288_original288_dynamic_residual_20260405/health/health_0008.csv","PASS",TRUE,903.497,TRUE,"promoted_dynamic_residual","Promote dynamic residual candidate rhsns_full_relaunch_20260327 from phase archive_rescore_existing after improving original baseline from FAIL to PASS."
"dynamic","dynamic","gausmix","0p25",500,"default","dqlm","vb","vb::dqlm","root__dynamic__gausmix__tau_0p25__lasttt_500","dynamic::gausmix::0p25::500::default","dynamic::gausmix::0p25::500::default::dqlm::vb","PASS",TRUE,"baseline_original","baseline_original","baseline","baseline","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/fits/vb/vb_dqlm_tau_0p25_fit.rds","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","","/home/jaguir26/local/src/exdqlm__wt__dqlm-conjugacy-cavi-gibbs/results/function_testing_20260309_dynamic_dlm_family_qspec/dlm_constV_smallW/gausmix/tau_0p25/fit_input_lastTT500/validation_dynamic_tt500/tables/method_signoff_long.csv","PASS",TRUE,,FALSE,"baseline_kept","Baseline original fit already healthy and no promoted candidate was required."
