"original_case_key","block","family","tau","fit_size","prior_semantics","model","inference","gate_overall","selected_variant_tag","queue_group","in_scope"
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_closure_attempt",FALSE
"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic","gausmix","0.05",500,"default","exdqlm","mcmc","FAIL","orig288_dyn_tail7_rw_refresh4_20260406","screened_dynamic_closure_attempt",FALSE
"dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic","laplace","0.25",500,"default","exdqlm","mcmc","FAIL","slice_wave1_20260319","screened_dynamic_closure_attempt",FALSE
"dynamic::normal::0p25::500::default::exdqlm::mcmc","dynamic","normal","0.25",500,"default","exdqlm","mcmc","FAIL","slice_wave1_20260319","screened_dynamic_closure_attempt",FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_refine_attempt",FALSE
"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","dynamic","gausmix","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic","gausmix","0p25",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic","laplace","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","dynamic","laplace","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
"dynamic::normal::0p05::500::default::exdqlm::mcmc","dynamic","normal","0p05",500,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
"dynamic::normal::0p05::5000::default::exdqlm::mcmc","dynamic","normal","0p05",5000,"default","exdqlm","mcmc","FAIL","baseline","screened_dynamic_tail6_localmix_attempt",FALSE
