"row_id","base_row_id","original_case_key","phase","phase_order","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","method_profile_id","seed","status_current","error_current","gate_current","healthy_current","runtime_sec_current","crps_metric","primary_accuracy_metric","q_rmse_metric","coverage95_metric","coverage95_gap_metric","mean_ci_width_metric","cie_metric","beta_rmse_mean_metric","beta_coverage_gap_metric","metric_source","metric_error"
9201,8,"dynamic::gausmix::0p05::5000::default::exdqlm::mcmc","confirm_row8_arm_D",1,"dynamic","dynamic","gausmix",0.05,"0p05",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",216037,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9202,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","confirm_row16_arm_B",2,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_B_prod",216079,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9203,16,"dynamic::gausmix::0p25::5000::default::exdqlm::mcmc","confirm_row16_arm_D",3,"dynamic","dynamic","gausmix",0.25,"0p25",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",216079,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9204,24,"dynamic::gausmix::0p50::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",216032,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9205,32,"dynamic::laplace::0p05::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.05,"0p05",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",215374,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9206,40,"dynamic::laplace::0p25::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.25,"0p25",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",215416,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9207,48,"dynamic::laplace::0p50::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","laplace",0.5,"0p50",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",215369,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9208,56,"dynamic::normal::0p05::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.05,"0p05",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",211258,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9209,64,"dynamic::normal::0p25::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.25,"0p25",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",211298,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9210,72,"dynamic::normal::0p50::5000::default::exdqlm::mcmc","spread_remaining_arm_D",4,"dynamic","dynamic","normal",0.5,"0p50",5000,"default","exdqlm","mcmc","exdqlm_tt5000_recovery__arm_D_prod",211253,"not_started",NA,"MISSING",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
