row_id,original_case_key,phase,block,family,tau_label,fit_size,prior_semantics,model,inference,status,error,candidate_fit_path,vb_init_fit_path,health_csv,metrics_csv
6,dynamic::gausmix::0p05::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p05,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=19.1154 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0006_dynamic_gausmix_0p05_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0006_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0006_metrics.csv
8,dynamic::gausmix::0p05::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p05,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0008_dynamic_gausmix_0p05_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0008_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0008_metrics.csv
11,dynamic::gausmix::0p25::500::default::exdqlm::vb,full_dynamic_vb,dynamic,gausmix,0p25,500,default,exdqlm,vb,failed_runtime,ldvb_q_t1 is NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/vb/row_0011_dynamic_gausmix_0p25_500_default_exdqlm_vb_fit.rds,NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0011_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0011_metrics.csv
12,dynamic::gausmix::0p25::500::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p25,500,default,exdqlm,mcmc,failed_runtime,ldvb_q_t1 is NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0012_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0012_metrics.csv
14,dynamic::gausmix::0p25::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p25,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=83.959 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0014_dynamic_gausmix_0p25_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0014_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0014_metrics.csv
16,dynamic::gausmix::0p25::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p25,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0016_dynamic_gausmix_0p25_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0016_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0016_metrics.csv
22,dynamic::gausmix::0p50::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p50,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=164.573 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0022_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0022_metrics.csv
24,dynamic::gausmix::0p50::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,gausmix,0p50,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0024_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0024_metrics.csv
30,dynamic::laplace::0p05::5000::default::dqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p05,5000,default,dqlm,mcmc,failed_runtime,dqlm_mcmc_pre_uts (iter=1) invalid state before chi update: sigma=18.1357 reg1_finite=FALSE max_abs_reg1=NA max_abs_theta=NA,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0030_dynamic_laplace_0p05_5000_default_dqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0030_dynamic_laplace_0p05_5000_default_dqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0030_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0030_metrics.csv
32,dynamic::laplace::0p05::5000::default::exdqlm::mcmc,full_dynamic_mcmc,dynamic,laplace,0p05,5000,default,exdqlm,mcmc,failed_runtime,exdqlm_mcmc_uts (iter=1) chi has 5000 non-finite values (first index=1),tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/fits/mcmc/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_fit.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/vb_init/dynamic/row_0032_dynamic_laplace_0p05_5000_default_exdqlm_mcmc_vb_init.rds,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/health/row_0032_health.csv,tools/merge_reports/full288_refreshed288_paperaligned_20260417_canonical_v1/metrics/row_0032_metrics.csv
