"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","missing_inputs","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","plot_summary_path","parameter_summary_path","predictive_quantile_grid_path","retention_mode","retain_candidate_fit_binaries","retain_draw_binaries","retain_vb_init_binaries","stored_posterior_draws"
17,17,"dynamic::gausmix::0p50::500::default::dqlm::vb","dynamic::gausmix::0p50::500::default::dqlm",192353,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","dqlm","vb","dynamic::gausmix::0p50::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0017_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/vb/row_0017_dynamic_gausmix_0p50_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0017_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0017_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0017_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0017_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0017_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0017_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0017_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
18,18,"dynamic::gausmix::0p50::500::default::dqlm::mcmc","dynamic::gausmix::0p50::500::default::dqlm",201869,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","dqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0018_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/mcmc/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/vb_init/dynamic/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0018_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0018_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0018_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0018_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0018_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0018_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0018_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
19,19,"dynamic::gausmix::0p50::500::default::exdqlm::vb","dynamic::gausmix::0p50::500::default::exdqlm",202616,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","exdqlm","vb","dynamic::gausmix::0p50::500","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0019_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/vb/row_0019_dynamic_gausmix_0p50_500_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0019_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0019_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0019_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0019_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0019_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0019_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0019_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
20,20,"dynamic::gausmix::0p50::500::default::exdqlm::mcmc","dynamic::gausmix::0p50::500::default::exdqlm",212532,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","exdqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0020_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/mcmc/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/vb_init/dynamic/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0020_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0020_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0020_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0020_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0020_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0020_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0020_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
21,21,"dynamic::gausmix::0p50::5000::default::dqlm::vb","dynamic::gausmix::0p50::5000::default::dqlm",195432,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","dqlm","vb","dynamic::gausmix::0p50::5000","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0021_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/vb/row_0021_dynamic_gausmix_0p50_5000_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0021_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0021_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0021_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0021_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0021_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0021_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0021_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
22,22,"dynamic::gausmix::0p50::5000::default::dqlm::mcmc","dynamic::gausmix::0p50::5000::default::dqlm",205148,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","dqlm","mcmc","dynamic::gausmix::0p50::5000","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0022_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/mcmc/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/vb_init/dynamic/row_0022_dynamic_gausmix_0p50_5000_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0022_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0022_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0022_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0022_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0022_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0022_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0022_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
23,23,"dynamic::gausmix::0p50::5000::default::exdqlm::vb","dynamic::gausmix::0p50::5000::default::exdqlm",205916,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","exdqlm","vb","dynamic::gausmix::0p50::5000","dynamic__exdqlm__vb","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0023_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/vb/row_0023_dynamic_gausmix_0p50_5000_default_exdqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0023_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0023_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0023_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0023_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0023_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0023_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0023_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
24,24,"dynamic::gausmix::0p50::5000::default::exdqlm::mcmc","dynamic::gausmix::0p50::5000::default::exdqlm",216032,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",5000,"default","exdqlm","mcmc","dynamic::gausmix::0p50::5000","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0024_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/mcmc/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/vb_init/dynamic/row_0024_dynamic_gausmix_0p50_5000_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0024_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0024_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0024_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0024_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0024_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0024_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0024_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
41,41,"dynamic::laplace::0p50::500::default::dqlm::vb","dynamic::laplace::0p50::500::default::dqlm",191690,"not_started","smoke_dynamic_vb",2,FALSE,"dynamic","dynamic","laplace",0.5,"0p50",500,"default","dqlm","vb","dynamic::laplace::0p50::500","dynamic__dqlm__vb","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0041_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/vb/row_0041_dynamic_laplace_0p50_500_default_dqlm_vb_fit.rds",NA,"tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0041_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0041_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0041_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0041_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0041_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0041_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0041_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
42,42,"dynamic::laplace::0p50::500::default::dqlm::mcmc","dynamic::laplace::0p50::500::default::dqlm",201206,"not_started","smoke_dynamic_mcmc",4,FALSE,"dynamic","dynamic","laplace",0.5,"0p50",500,"default","dqlm","mcmc","dynamic::laplace::0p50::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/configs/row_0042_run_config.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/fits/mcmc/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/vb_init/dynamic/row_0042_dynamic_laplace_0p50_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/rows/row_0042_status.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/health/row_0042_health.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/metrics/row_0042_metrics.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/draws/row_0042_draws.rds","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/plot_summaries/row_0042_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/parameter_summaries/row_0042_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260430_p90_dynamic72_qdesn_comparable_v4_laplace_repair/predictive_quantile_grid/row_0042_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000
