"root_kind","prior_semantics","model","inference","total","completed","running","not_started","pass","warn","fail","healthy","pct_completed","pct_active_or_done"
"dynamic","default","dqlm","mcmc",2,2,0,0,1,0,1,1,100,100
"dynamic","default","dqlm","vb",2,2,0,0,1,1,0,2,100,100
"dynamic","default","exdqlm","mcmc",2,2,0,0,0,1,1,1,100,100
"dynamic","default","exdqlm","vb",2,2,0,0,1,1,0,2,100,100
"static_paper","paper","al","mcmc",2,2,0,0,2,0,0,2,100,100
"static_paper","paper","al","vb",2,2,0,0,2,0,0,2,100,100
"static_paper","paper","exal","mcmc",2,2,0,0,1,0,1,1,100,100
"static_paper","paper","exal","vb",2,2,0,0,2,0,0,2,100,100
"static_shrink","rhs_ns","al","mcmc",1,1,0,0,0,1,0,1,100,100
"static_shrink","rhs_ns","al","vb",1,1,0,0,1,0,0,1,100,100
"static_shrink","rhs_ns","exal","mcmc",1,1,0,0,0,1,0,1,100,100
"static_shrink","rhs_ns","exal","vb",1,1,0,0,1,0,0,1,100,100
"static_shrink","ridge","al","mcmc",1,1,0,0,0,1,0,1,100,100
"static_shrink","ridge","al","vb",1,1,0,0,1,0,0,1,100,100
"static_shrink","ridge","exal","mcmc",1,1,0,0,1,0,0,1,100,100
"static_shrink","ridge","exal","vb",1,1,0,0,1,0,0,1,100,100
