"row_id","base_row_id","original_case_key","pair_id","seed","status","phase","phase_order","missing_inputs","block","root_kind","family","tau","tau_label","fit_size","prior_semantics","model","inference","source_dataset_id","method_profile_id","config_path","run_root","candidate_fit_path","vb_init_fit_path","row_status_path","health_path","metrics_path","draws_path","plot_summary_path","parameter_summary_path","predictive_quantile_grid_path","retention_mode","retain_candidate_fit_binaries","retain_draw_binaries","retain_vb_init_binaries","stored_posterior_draws","row_status_current"
2,2,"dynamic::gausmix::0p05::500::default::dqlm::mcmc","dynamic::gausmix::0p05::500::default::dqlm",201874,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","dqlm","mcmc","dynamic::gausmix::0p05::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0002_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0002_dynamic_gausmix_0p05_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0002_dynamic_gausmix_0p05_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0002_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0002_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0002_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0002_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0002_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0002_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0002_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
4,4,"dynamic::gausmix::0p05::500::default::exdqlm::mcmc","dynamic::gausmix::0p05::500::default::exdqlm",212537,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.05,"0p05",500,"default","exdqlm","mcmc","dynamic::gausmix::0p05::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0004_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0004_dynamic_gausmix_0p05_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0004_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0004_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0004_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0004_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0004_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0004_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0004_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
10,10,"dynamic::gausmix::0p25::500::default::dqlm::mcmc","dynamic::gausmix::0p25::500::default::dqlm",201916,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","dqlm","mcmc","dynamic::gausmix::0p25::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0010_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0010_dynamic_gausmix_0p25_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0010_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0010_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0010_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0010_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0010_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0010_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0010_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
12,12,"dynamic::gausmix::0p25::500::default::exdqlm::mcmc","dynamic::gausmix::0p25::500::default::exdqlm",212579,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.25,"0p25",500,"default","exdqlm","mcmc","dynamic::gausmix::0p25::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0012_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0012_dynamic_gausmix_0p25_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0012_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0012_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0012_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0012_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0012_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0012_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0012_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
18,18,"dynamic::gausmix::0p50::500::default::dqlm::mcmc","dynamic::gausmix::0p50::500::default::dqlm",201869,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","dqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0018_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0018_dynamic_gausmix_0p50_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0018_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0018_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0018_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0018_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0018_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0018_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0018_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
20,20,"dynamic::gausmix::0p50::500::default::exdqlm::mcmc","dynamic::gausmix::0p50::500::default::exdqlm",212532,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","gausmix",0.5,"0p50",500,"default","exdqlm","mcmc","dynamic::gausmix::0p50::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0020_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0020_dynamic_gausmix_0p50_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0020_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0020_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0020_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0020_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0020_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0020_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0020_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
26,26,"dynamic::laplace::0p05::500::default::dqlm::mcmc","dynamic::laplace::0p05::500::default::dqlm",201211,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","laplace",0.05,"0p05",500,"default","dqlm","mcmc","dynamic::laplace::0p05::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0026_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0026_dynamic_laplace_0p05_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0026_dynamic_laplace_0p05_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0026_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0026_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0026_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0026_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0026_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0026_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0026_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
28,28,"dynamic::laplace::0p05::500::default::exdqlm::mcmc","dynamic::laplace::0p05::500::default::exdqlm",211874,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","laplace",0.05,"0p05",500,"default","exdqlm","mcmc","dynamic::laplace::0p05::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0028_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0028_dynamic_laplace_0p05_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0028_dynamic_laplace_0p05_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0028_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0028_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0028_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0028_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0028_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0028_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0028_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
34,34,"dynamic::laplace::0p25::500::default::dqlm::mcmc","dynamic::laplace::0p25::500::default::dqlm",201253,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","laplace",0.25,"0p25",500,"default","dqlm","mcmc","dynamic::laplace::0p25::500","dynamic__dqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0034_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0034_dynamic_laplace_0p25_500_default_dqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0034_dynamic_laplace_0p25_500_default_dqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0034_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0034_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0034_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0034_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0034_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0034_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0034_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
36,36,"dynamic::laplace::0p25::500::default::exdqlm::mcmc","dynamic::laplace::0p25::500::default::exdqlm",211916,"not_started","full_dynamic_mcmc",8,FALSE,"dynamic","dynamic","laplace",0.25,"0p25",500,"default","exdqlm","mcmc","dynamic::laplace::0p25::500","dynamic__exdqlm__mcmc","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/configs/row_0036_run_config.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/fits/mcmc/row_0036_dynamic_laplace_0p25_500_default_exdqlm_mcmc_fit.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/vb_init/dynamic/row_0036_dynamic_laplace_0p25_500_default_exdqlm_mcmc_vb_init.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/rows/row_0036_status.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/health/row_0036_health.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/metrics/row_0036_metrics.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/draws/row_0036_draws.rds","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/plot_summaries/row_0036_plot_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/parameter_summaries/row_0036_parameter_summary.csv","tools/merge_reports/full288_refreshed288_20260507_p90_dynamic72_qdesn_comparable_fresh_v1/predictive_quantile_grid/row_0036_predictive_quantile_grid.csv","comparison_plus_plot",FALSE,FALSE,FALSE,20000,"not_started"
