"row_id","family_scope","family","tt","tau","scope"
79,"static_paper","gausmix",1000,"0p05","current_rhsns"
157,"static_shrink","gausmix",1000,"0p05","current_rhsns"
157,"static_shrink","gausmix",1000,"0p05","legacy_rhs"
83,"static_paper","gausmix",100,"0p25","current_rhsns"
165,"static_shrink","gausmix",100,"0p25","current_rhsns"
165,"static_shrink","gausmix",100,"0p25","legacy_rhs"
87,"static_paper","gausmix",1000,"0p25","current_rhsns"
173,"static_shrink","gausmix",1000,"0p25","current_rhsns"
174,"static_shrink","gausmix",1000,"0p25","current_rhsns"
173,"static_shrink","gausmix",1000,"0p25","legacy_rhs"
182,"static_shrink","gausmix",100,"0p95","current_rhsns"
181,"static_shrink","gausmix",100,"0p95","legacy_rhs"
190,"static_shrink","gausmix",1000,"0p95","current_rhsns"
189,"static_shrink","gausmix",1000,"0p95","legacy_rhs"
103,"static_paper","laplace",1000,"0p05","current_rhsns"
206,"static_shrink","laplace",1000,"0p05","current_rhsns"
205,"static_shrink","laplace",1000,"0p05","legacy_rhs"
221,"static_shrink","laplace",1000,"0p25","current_rhsns"
115,"static_paper","laplace",100,"0p95","current_rhsns"
237,"static_shrink","laplace",1000,"0p95","current_rhsns"
237,"static_shrink","laplace",1000,"0p95","legacy_rhs"
123,"static_paper","normal",100,"0p05","current_rhsns"
127,"static_paper","normal",1000,"0p05","current_rhsns"
254,"static_shrink","normal",1000,"0p05","current_rhsns"
261,"static_shrink","normal",100,"0p25","current_rhsns"
135,"static_paper","normal",1000,"0p25","current_rhsns"
269,"static_shrink","normal",1000,"0p25","legacy_rhs"
278,"static_shrink","normal",100,"0p95","current_rhsns"
277,"static_shrink","normal",100,"0p95","legacy_rhs"
286,"static_shrink","normal",1000,"0p95","current_rhsns"
