"candidate_id","gamma_substeps","p_global_eta_jump","global_eta_jump_scale"
"F0825_sub2_s100",2,0.0825,1
"F0825_sub2_s1025",2,0.0825,1.025
"F0825_sub2_s105",2,0.0825,1.05
"F0830_sub2_s1025",2,0.083,1.025
"F0830_sub2_s105",2,0.083,1.05
"F0835_sub2_s1025",2,0.0835,1.025
"F0840_sub2_s100",2,0.084,1
"F0840_sub2_s1025",2,0.084,1.025
"F0845_sub2_s100",2,0.0845,1
"F0845_sub2_s1025",2,0.0845,1.025
"F085_sub2_s100",2,0.085,1
"F085_sub2_s1025",2,0.085,1.025
"F0875_sub2_s105",2,0.0875,1.05
"F0860_sub2_s100",2,0.086,1
