"block","family","tau_label","fit_size","prior_semantics","model","original_scenario_key","primary_accuracy_vb","primary_accuracy_mcmc","primary_accuracy_delta_mcmc_minus_vb","coverage_vb","coverage_mcmc","coverage_delta_mcmc_minus_vb","mean_ci_width_vb","mean_ci_width_mcmc","mean_ci_width_delta_mcmc_minus_vb","runtime_sec_vb","runtime_sec_mcmc","runtime_ratio_mcmc_over_vb","gate_vb","gate_mcmc","mcmc_better_accuracy","mcmc_healthier","vb_metric_source","mcmc_metric_source"
"dynamic","gausmix","0p05",500,"default","dqlm","dynamic::gausmix::0p05::500::default",4963.99572101382,4956.807659936,-7.18806107781984,0.088,0.094,0.00600000000000001,525.443433315882,765.87099470244,240.427561386558,NA,449.166,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",500,"default","exdqlm","dynamic::gausmix::0p05::500::default",5018.15441716758,4960.98239104324,-57.1720261243399,0.09,0.094,0.004,517.61313861678,768.980958449064,251.367819832284,631.985,936.98,1.48259847939429,"PASS","WARN",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",5000,"default","dqlm","dynamic::gausmix::0p05::5000::default",545.88953863883,543.71721753458,-2.17232110425005,0.8234,0.9286,0.1052,10.3427357525307,15.8499634359819,5.5072276834512,363.593,6321.724,17.3868143776145,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",5000,"default","exdqlm","dynamic::gausmix::0p05::5000::default",545.119459790896,559.369623963568,14.2501641726719,0.8216,0.9292,0.1076,10.385002340237,17.0990562699661,6.7140539297291,1440.065,NA,NA,"WARN","FAIL",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",500,"default","dqlm","dynamic::gausmix::0p25::500::default",3908.72465584305,3896.0942221835,-12.6304336595504,0.174,0.304,0.13,615.1955186634,720.252969326921,105.057450663521,NA,903.497,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",500,"default","exdqlm","dynamic::gausmix::0p25::500::default",3970.47359522564,9250.19738892023,5279.72379369459,0.21,1,0.79,604.787072378794,39989.4925959894,39384.7055236106,135.082,1807.956,13.3841370426852,"PASS","WARN",FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","gausmix","0p25",5000,"default","dqlm","dynamic::gausmix::0p25::5000::default",403.361704481892,403.015601990059,-0.346102491832994,0.9526,0.954,0.00139999999999996,13.9332471389242,17.6569980372525,3.7237508983283,NA,9779.123,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",5000,"default","exdqlm","dynamic::gausmix::0p25::5000::default",415.790950745407,469.425204484899,53.634253739492,0.952,0.9516,-0.000399999999999956,14.9795562062462,21.9550390842062,6.97548287796,552.729,5809.576,10.5107132066528,"PASS","WARN",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",500,"default","dqlm","dynamic::gausmix::0p95::500::default",5161.70616336205,5217.69521314506,55.9890497830102,0.024,0.076,0.052,1498.07395233411,3632.3918987758,2134.31794644169,NA,901.878,NA,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",500,"default","exdqlm","dynamic::gausmix::0p95::500::default",4906.05626409467,9163.88404384057,4257.8277797459,0.048,0.056,0.008,1135.25379481128,3024.92629882086,1889.67250400958,168.768,475.721,2.81878673682215,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",5000,"default","dqlm","dynamic::gausmix::0p95::5000::default",373.723241156594,366.29148177055,-7.43175938604401,0.8262,0.9078,0.0816,44.4701776333476,73.6254585660176,29.15528093267,428.993,19384.026,45.1849470737285,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",5000,"default","exdqlm","dynamic::gausmix::0p95::5000::default",337.00270609495,343.166400488548,6.16369439359801,0.0022,0.0038,0.0016,59.7435988835692,82.8988317713232,23.155232887754,974.438,1945.455,1.99648925842383,"PASS","PASS",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",500,"default","dqlm","dynamic::laplace::0p05::500::default",4890.72541563466,4879.01442325103,-11.7109923836297,0.088,0.094,0.00600000000000001,518.352179862313,750.632427463357,232.280247601044,NA,444.656,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",500,"default","exdqlm","dynamic::laplace::0p05::500::default",4944.9163985846,10140.7709887746,5195.85459019,0.088,1,0.912,509.965260031737,25698.4700265308,25188.5047664991,645.386,1483.752,2.29901485312666,"PASS","WARN",FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","laplace","0p05",5000,"default","dqlm","dynamic::laplace::0p05::5000::default",516.212799465078,513.914697591329,-2.29810187374903,0.8512,0.9436,0.0924,11.5689512151815,18.0139828639404,6.4450316487589,361.245,1785.524,4.94269540062838,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",5000,"default","exdqlm","dynamic::laplace::0p05::5000::default",509.013403673815,519.187692630715,10.1742889569,0.836,0.9436,0.1076,11.8923912107682,18.3428206491585,6.4504294383903,1493.772,NA,NA,"WARN","FAIL",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",500,"default","dqlm","dynamic::laplace::0p25::500::default",3846.73358368177,3834.22027413534,-12.5133095464303,0.18,0.304,0.124,605.599495193171,713.138627668938,107.539132475767,NA,907.663,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",500,"default","exdqlm","dynamic::laplace::0p25::500::default",3908.84922205089,4168.62091671619,259.771694665299,0.212,0.208,-0.004,597.88866372836,948.983242313268,351.094578584908,134.307,741.185,5.51858801104931,"PASS","WARN",FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",5000,"default","dqlm","dynamic::laplace::0p25::5000::default",381.116554847942,380.806120694974,-0.310434152967957,0.9536,0.9546,0.001,14.8692119650822,18.8806827778564,4.0114708127742,NA,1807.255,NA,"PASS","PASS",TRUE,FALSE,"validation_tables","validation_tables"
