"block","family","tau_label","fit_size","prior_semantics","inference","original_scenario_key","base_model","extended_model","primary_accuracy_base","primary_accuracy_extended","primary_accuracy_delta","coverage_base","coverage_extended","coverage_delta","mean_ci_width_base","mean_ci_width_extended","mean_ci_width_delta","runtime_sec_base","runtime_sec_extended","runtime_ratio_extended_over_base","gate_base","gate_extended","healthy_base","healthy_extended","exdqlm_better_accuracy","exdqlm_healthier","base_metric_source","extended_metric_source"
"dynamic","gausmix","0p05",500,"default","mcmc","dynamic::gausmix::0p05::500::default","dqlm","exdqlm",4956.807659936,4960.98239104324,4.1747311072395,0.094,0.094,0,765.87099470244,768.980958449064,3.10996374662398,449.166,936.98,2.0860439124956,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",500,"default","vb","dynamic::gausmix::0p05::500::default","dqlm","exdqlm",4963.99572101382,5018.15441716758,54.1586961537596,0.088,0.09,0.002,525.443433315882,517.61313861678,-7.83029469910196,NA,631.985,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",5000,"default","mcmc","dynamic::gausmix::0p05::5000::default","dqlm","exdqlm",543.71721753458,559.369623963568,15.652406428988,0.9286,0.9292,0.000600000000000045,15.8499634359819,17.0990562699661,1.2490928339842,6321.724,NA,NA,"PASS","FAIL",TRUE,FALSE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p05",5000,"default","vb","dynamic::gausmix::0p05::5000::default","dqlm","exdqlm",545.88953863883,545.119459790896,-0.770078847933974,0.8234,0.8216,-0.00180000000000002,10.3427357525307,10.385002340237,0.0422665877062993,363.593,1440.065,3.96065105763862,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",500,"default","mcmc","dynamic::gausmix::0p25::500::default","dqlm","exdqlm",3896.0942221835,9250.19738892023,5354.10316673673,0.304,1,0.696,720.252969326921,39989.4925959894,39269.2396266625,903.497,1807.956,2.00106475173686,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","gausmix","0p25",500,"default","vb","dynamic::gausmix::0p25::500::default","dqlm","exdqlm",3908.72465584305,3970.47359522564,61.7489393825899,0.174,0.21,0.036,615.1955186634,604.787072378794,-10.4084462846059,NA,135.082,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",5000,"default","mcmc","dynamic::gausmix::0p25::5000::default","dqlm","exdqlm",403.015601990059,469.425204484899,66.40960249484,0.954,0.9516,-0.00239999999999996,17.6569980372525,21.9550390842062,4.2980410469537,9779.123,5809.576,0.594079448637674,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p25",5000,"default","vb","dynamic::gausmix::0p25::5000::default","dqlm","exdqlm",403.361704481892,415.790950745407,12.429246263515,0.9526,0.952,-0.000600000000000045,13.9332471389242,14.9795562062462,1.046309067322,NA,552.729,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",500,"default","mcmc","dynamic::gausmix::0p95::500::default","dqlm","exdqlm",5217.69521314506,9163.88404384057,3946.18883069551,0.076,0.056,-0.02,3632.3918987758,3024.92629882086,-607.46559995494,901.878,475.721,0.527478217674674,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",500,"default","vb","dynamic::gausmix::0p95::500::default","dqlm","exdqlm",5161.70616336205,4906.05626409467,-255.64989926738,0.024,0.048,0.024,1498.07395233411,1135.25379481128,-362.82015752283,NA,168.768,NA,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",5000,"default","mcmc","dynamic::gausmix::0p95::5000::default","dqlm","exdqlm",366.29148177055,343.166400488548,-23.125081282002,0.9078,0.0038,-0.904,73.6254585660176,82.8988317713232,9.2733732053056,19384.026,1945.455,0.100363825347737,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","gausmix","0p95",5000,"default","vb","dynamic::gausmix::0p95::5000::default","dqlm","exdqlm",373.723241156594,337.00270609495,-36.720535061644,0.8262,0.0022,-0.824,44.4701776333476,59.7435988835692,15.2734212502216,428.993,974.438,2.27145431277433,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",500,"default","mcmc","dynamic::laplace::0p05::500::default","dqlm","exdqlm",4879.01442325103,10140.7709887746,5261.75656552357,0.094,1,0.906,750.632427463357,25698.4700265308,24947.8375990675,444.656,1483.752,3.33685365765895,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","dynamic_restored_metrics"
"dynamic","laplace","0p05",500,"default","vb","dynamic::laplace::0p05::500::default","dqlm","exdqlm",4890.72541563466,4944.9163985846,54.19098294994,0.088,0.088,0,518.352179862313,509.965260031737,-8.38691983057606,NA,645.386,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",5000,"default","mcmc","dynamic::laplace::0p05::5000::default","dqlm","exdqlm",513.914697591329,519.187692630715,5.27299503938605,0.9436,0.9436,0,18.0139828639404,18.3428206491585,0.328837785218102,1785.524,NA,NA,"PASS","FAIL",TRUE,FALSE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p05",5000,"default","vb","dynamic::laplace::0p05::5000::default","dqlm","exdqlm",516.212799465078,509.013403673815,-7.19939579126299,0.8512,0.836,-0.0152,11.5689512151815,11.8923912107682,0.3234399955867,361.245,1493.772,4.13506622929037,"PASS","WARN",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",500,"default","mcmc","dynamic::laplace::0p25::500::default","dqlm","exdqlm",3834.22027413534,4168.62091671619,334.40064258085,0.304,0.208,-0.096,713.138627668938,948.983242313268,235.84461464433,907.663,741.185,0.816586111805813,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",500,"default","vb","dynamic::laplace::0p25::500::default","dqlm","exdqlm",3846.73358368177,3908.84922205089,62.11563836912,0.18,0.212,0.032,605.599495193171,597.88866372836,-7.71083146481101,NA,134.307,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",5000,"default","mcmc","dynamic::laplace::0p25::5000::default","dqlm","exdqlm",380.806120694974,437.702076737832,56.895956042858,0.9546,0.9526,-0.002,18.8806827778564,21.001993591969,2.1213108141126,1807.255,18538.16,10.2576338148186,"PASS","WARN",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p25",5000,"default","vb","dynamic::laplace::0p25::5000::default","dqlm","exdqlm",381.116554847942,394.82123605069,13.704681202748,0.9536,0.953,-0.000600000000000045,14.8692119650822,15.783710044509,0.914498079426799,NA,500.023,NA,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","mcmc","dynamic::laplace::0p95::500::default","dqlm","exdqlm",5131.34070116314,9107.60604926899,3976.26534810585,0.076,0.056,-0.02,3489.5509684699,2919.77140294907,-569.77956552083,844.627,191.49,0.226715461381178,"PASS","PASS",TRUE,TRUE,FALSE,FALSE,"validation_tables","validation_tables"
"dynamic","laplace","0p95",500,"default","vb","dynamic::laplace::0p95::500::default","dqlm","exdqlm",5081.48032131993,4821.10074372068,-260.37957759925,0.024,0.05,0.026,1479.23538475212,1117.55897505619,-361.67640969593,NA,169.155,NA,"PASS","PASS",TRUE,TRUE,TRUE,FALSE,"validation_tables","validation_tables"
