"block","prior_semantics","inference","family","tau_label","fit_size","n","available_accuracy","better_accuracy","better_accuracy_share","healthier","healthier_share","delta_median","delta_mean","runtime_ratio_median"
"static_paper","paper","mcmc","gausmix","0p05",100,1,1,1,1,0,0,-0.480288985187671,-0.480288985187671,8.54362737278673
"static_paper","paper","mcmc","gausmix","0p05",1000,1,1,1,1,0,0,-0.03524072984394,-0.03524072984394,0.811273595463702
"static_paper","paper","mcmc","gausmix","0p25",100,1,1,0,0,0,0,0.0712373245073981,0.0712373245073981,2.74142893208786
"static_paper","paper","mcmc","gausmix","0p25",1000,1,1,1,1,0,0,-0.085890069374133,-0.085890069374133,0.531356069177307
"static_paper","paper","mcmc","gausmix","0p95",100,1,1,0,0,0,0,0.1001006833624,0.1001006833624,8.50079643198471
"static_paper","paper","mcmc","gausmix","0p95",1000,1,1,0,0,0,0,0.274497516266842,0.274497516266842,20.6808803301238
"static_paper","paper","mcmc","laplace","0p05",100,1,1,1,1,0,0,-0.68918055545075,-0.68918055545075,49.3011152416357
"static_paper","paper","mcmc","laplace","0p05",1000,1,1,1,1,0,0,-0.0518016731462301,-0.0518016731462301,16.4782608695652
"static_paper","paper","mcmc","laplace","0p25",100,1,1,1,1,0,0,-0.382811364242973,-0.382811364242973,46.9912663755458
"static_paper","paper","mcmc","laplace","0p25",1000,1,1,1,1,0,0,-0.233927331581539,-0.233927331581539,1.97420216504991
"static_paper","paper","mcmc","laplace","0p95",100,1,1,1,1,0,0,-2.13196628808599,-2.13196628808599,15.8762101253769
"static_paper","paper","mcmc","laplace","0p95",1000,1,1,0,0,0,0,0.1760006609051,0.1760006609051,15.6338169084542
"static_paper","paper","mcmc","normal","0p05",100,1,1,1,1,0,0,-0.205218866292774,-0.205218866292774,56.8907646474677
"static_paper","paper","mcmc","normal","0p05",1000,1,1,1,1,0,0,-0.1904672790408,-0.1904672790408,17.3291508608112
"static_paper","paper","mcmc","normal","0p25",100,1,1,0,0,0,0,0.144335779746396,0.144335779746396,520.386186770428
"static_paper","paper","mcmc","normal","0p25",1000,1,1,1,1,0,0,-0.170604224293505,-0.170604224293505,33.4749090909091
"static_paper","paper","mcmc","normal","0p95",100,1,1,1,1,0,0,-0.50198712220549,-0.50198712220549,53.0140280561122
"static_paper","paper","mcmc","normal","0p95",1000,1,1,0,0,0,0,0.0226254967960799,0.0226254967960799,18.6998674686512
"static_paper","paper","vb","gausmix","0p05",100,1,1,1,1,0,0,-0.42252486613957,-0.42252486613957,80.953125
"static_paper","paper","vb","gausmix","0p05",1000,1,1,0,0,0,0,0.153749954764684,0.153749954764684,42.1101449275362
"static_paper","paper","vb","gausmix","0p25",100,1,0,0,NA,0,0,NA,NA,324.428571428573
"static_paper","paper","vb","gausmix","0p25",1000,1,0,0,NA,0,0,NA,NA,13.3029341792228
"static_paper","paper","vb","gausmix","0p95",100,1,1,0,0,0,0,0.2231455585872,0.2231455585872,86.2
"static_paper","paper","vb","gausmix","0p95",1000,1,1,0,0,0,0,0.415535236646518,0.415535236646518,58.3823529411765
"static_paper","paper","vb","laplace","0p05",100,1,1,1,1,0,0,-0.09251344598069,-0.09251344598069,450.000000000004
"static_paper","paper","vb","laplace","0p05",1000,1,1,0,0,0,0,0.28354944411744,0.28354944411744,47.4198113207547
"static_paper","paper","vb","laplace","0p25",100,1,0,0,NA,0,0,NA,NA,980.428571428585
"static_paper","paper","vb","laplace","0p25",1000,1,0,0,NA,0,0,NA,NA,274.946428571429
"static_paper","paper","vb","laplace","0p95",100,1,1,1,1,0,0,-1.96106769298803,-1.96106769298803,55.5371900826446
"static_paper","paper","vb","laplace","0p95",1000,1,1,0,0,0,0,0.53511088370091,0.53511088370091,44.932
"static_paper","paper","vb","normal","0p05",100,1,1,0,0,0,0,0.15163178789898,0.15163178789898,142.969072164948
"static_paper","paper","vb","normal","0p05",1000,1,1,1,1,0,0,-0.00115001601825393,-0.00115001601825393,53.4040816326531
"static_paper","paper","vb","normal","0p25",100,1,0,0,NA,0,0,NA,NA,172.974683544304
"static_paper","paper","vb","normal","0p25",1000,1,0,0,NA,0,0,NA,NA,117.664122137405
"static_paper","paper","vb","normal","0p95",100,1,1,1,1,0,0,-0.15001742352767,-0.15001742352767,124.457943925234
"static_paper","paper","vb","normal","0p95",1000,1,1,0,0,0,0,0.195599366891692,0.195599366891692,53.5764192139738
"static_shrink","rhs_ns","mcmc","gausmix","0p05",100,1,1,0,0,0,0,0.100278992229219,0.100278992229219,4.85054971608071
"static_shrink","rhs_ns","mcmc","gausmix","0p05",1000,1,1,1,1,0,0,-0.155500568928796,-0.155500568928796,11.9215499947207
"static_shrink","rhs_ns","mcmc","gausmix","0p25",100,1,1,0,0,1,1,0.0955551491616711,0.0955551491616711,12.6270227808327
"static_shrink","rhs_ns","mcmc","gausmix","0p25",1000,1,1,0,0,0,0,0.036705180446964,0.036705180446964,31.0995977984759
"static_shrink","rhs_ns","mcmc","gausmix","0p95",100,1,1,1,1,0,0,-0.00611018658444296,-0.00611018658444296,15.4913369910482
"static_shrink","rhs_ns","mcmc","gausmix","0p95",1000,1,1,0,0,0,0,0.199433153056963,0.199433153056963,10.3972100600754
"static_shrink","rhs_ns","mcmc","laplace","0p05",100,1,1,1,1,0,0,-0.243516720350695,-0.243516720350695,10.4597821220713
"static_shrink","rhs_ns","mcmc","laplace","0p05",1000,1,1,0,0,0,0,0.124242753120189,0.124242753120189,11.0629211041078
"static_shrink","rhs_ns","mcmc","laplace","0p25",100,1,1,1,1,0,0,-0.25155568493634,-0.25155568493634,12.0866624724756
"static_shrink","rhs_ns","mcmc","laplace","0p25",1000,1,1,1,1,0,0,-0.0485040510869715,-0.0485040510869715,7.64634934309714
"static_shrink","rhs_ns","mcmc","laplace","0p95",100,1,1,1,1,0,0,-0.676215381665146,-0.676215381665146,10.985406950504
"static_shrink","rhs_ns","mcmc","laplace","0p95",1000,1,1,0,0,0,0,0.263707039942719,0.263707039942719,7.47753158003728
"static_shrink","rhs_ns","mcmc","normal","0p05",100,1,1,1,1,0,0,-0.084815002931964,-0.084815002931964,4.80613708058503
"static_shrink","rhs_ns","mcmc","normal","0p05",1000,1,1,1,1,0,0,-0.017300348821887,-0.017300348821887,14.2672600955276
"static_shrink","rhs_ns","mcmc","normal","0p25",100,1,1,1,1,0,0,-0.13087705899048,-0.13087705899048,11.489243151215
"static_shrink","rhs_ns","mcmc","normal","0p25",1000,1,1,1,1,0,0,-0.069344172298055,-0.069344172298055,13.2580677290837
"static_shrink","rhs_ns","mcmc","normal","0p95",100,1,1,1,1,0,0,-0.245724393203163,-0.245724393203163,10.0234055002926
"static_shrink","rhs_ns","mcmc","normal","0p95",1000,1,1,0,0,0,0,0.036122829405437,0.036122829405437,8.53039412157649
"static_shrink","rhs_ns","vb","gausmix","0p05",100,1,1,0,0,0,0,0.000635504230549921,0.000635504230549921,18.7794117647059
"static_shrink","rhs_ns","vb","gausmix","0p05",1000,1,1,1,1,0,0,-0.038214816811459,-0.038214816811459,10.4229183841715
"static_shrink","rhs_ns","vb","gausmix","0p25",100,1,0,0,NA,0,0,NA,NA,48.2259615384615
"static_shrink","rhs_ns","vb","gausmix","0p25",1000,1,0,0,NA,0,0,NA,NA,39.0548654244306
"static_shrink","rhs_ns","vb","gausmix","0p95",100,1,1,1,1,0,0,-0.059057212420206,-0.059057212420206,24.5889003083248
"static_shrink","rhs_ns","vb","gausmix","0p95",1000,1,1,0,0,0,0,0.323943943091763,0.323943943091763,12.634328358209
"static_shrink","rhs_ns","vb","laplace","0p05",100,1,1,1,1,0,0,-0.219290886414016,-0.219290886414016,15.8026460859978
"static_shrink","rhs_ns","vb","laplace","0p05",1000,1,1,0,0,0,0,0.202065003501314,0.202065003501314,11.3503521126761
"static_shrink","rhs_ns","vb","laplace","0p25",100,1,0,0,NA,0,0,NA,NA,46.5332252836305
"static_shrink","rhs_ns","vb","laplace","0p25",1000,1,0,0,NA,0,0,NA,NA,34.7684824902724
"static_shrink","rhs_ns","vb","laplace","0p95",100,1,1,1,1,0,0,-0.637876692709878,-0.637876692709878,16.1469907407407
"static_shrink","rhs_ns","vb","laplace","0p95",1000,1,1,0,0,0,0,0.369660650092383,0.369660650092383,9.04422944022115
"static_shrink","rhs_ns","vb","normal","0p05",100,1,1,1,1,0,0,-0.0184107237003559,-0.0184107237003559,4.93817504655494
